**Magic Bow ITEM LIST   
||Name|Rank|P-ATK|M-ATK|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
|[Spell of Youran[スペルオブユラーン]]|95|2448|2631|エレメントアーチャー(Lv88～)|18086
|[Shams Shooter[シャムスシューター]]|98|2522|2706|エレメントアーチャー(Lv90～)|18091
|[Blessed Ardashir[ブレスアルダシール]]|100|2596|2780|エレメントアーチャー(Lv90～)|19714
|[Red Dawn's Steel Shooter[暁紅のスティールシューター]]|100|2589|2773|エレメントアーチャー(Lv90～)|19931
|[Spell of Vermilion[スペルオブヴァーミリオン]]|105|2703|2890|エレメントアーチャー(Lv93～)|19936
|[Jinas Shooter[ジーナスシューター]]|108|2780|2969|エレメントアーチャー(Lv95～)|19941
|[[スペルオブティフォン]]|110|2853|3042|エレメントアーチャー(Lv95～)|
|[Spell of Altura[スペルオブアルトゥーラ]]|110|2848|3038|エレメントアーチャー(Lv95～)|20289
|[Rousing Schlucht Shooter[奮起のシュルフトシューター]]|115|2968|3160|エレメントアーチャー(Lv98～)|20294
|[Réverie Shooter[レヴリーシューター]]|118|3048|3242|エレメントアーチャー(Lv100～)|20299
|[Purgatoire[ピュルガトワール]]|120|3124|3318|エレメントアーチャー(Lv100～)|20304
|[[精霊の魔道弓]]|130|3184|3378|エレメントアーチャー(Lv100～)|23958
|[[炎王の魔道弓]]|130|3184|3378|エレメントアーチャー(Lv100～)|23963
|[[白翼の魔道弓]]|130|3184|3378|エレメントアーチャー(Lv100～)|23968
|[[黄金の魔道弓]]|130|3184|3378|エレメントアーチャー(Lv100～)|23973
|[[黒砕の魔道弓]]|135|3316|3510|エレメントアーチャー(Lv100～)|23978

**Gatcha
|[Mark of the Wicked Blood Staff[邪印のソウルランペイジ]]|7|328|450|エレメントアーチャー(Lv15～)|10376
|[Dragon's Spell[ドラゴンズスペル]]|11|187|299|エレメントアーチャー(Lv1～)|10366
|[Soul Rampage of Warding Evil[退魔のソウルランペイジ]]|11|1008|1159|エレメントアーチャー(Lv45～)|12790
|[Alchemy Disturber[アルケミーディスタ－バー]]|12|187|299|エレメントアーチャー(Lv1～)|11703
|[Salvation Spell[サルヴェーションスペル]]|16|255|372|エレメントアーチャー(Lv1～)|14115
|[Sharp String of Heroes[豪傑のシャープストリング]]|25|1440|1600|エレメントアーチャー(Lv55～)|14120
|[Obsidian Spell[オブシディアンスペル]]|31|328|450|エレメントアーチャー(Lv1～)|14121
|[Twin Spell of Legacy[遺宝のツインスペル]]|40|1654|1819|エレメントアーチャー(Lv60～)|14126
|[Arisen's Disturber[アリズンズディスターバー]]|45|||エレメントアーチャー(Lv1～)|15843
|[Roaring Blaze Scale Shooter[猛炎のスケイルシューター]]|55|1857|2026|エレメントアーチャー(Lv70～)|16514
|[Melty Shooter[メルティ・シューター]]|45|1473|1633|エレメントアーチャー(Lv1～)|16780
|[Sincere Shooter[シンシアー・シューター]]|45|1473|1633|エレメントアーチャー(Lv1～)|16781
|[Spell of Radiance[スペルオブラディアンス]]|60|423|550|エレメントアーチャー(Lv1～)|15848
|[Tyrant Spell of Torn Light[破光のタイラントスペル]]|70|2086|2261|エレメントアーチャー(Lv75～)|16515
|[Blue Storm Mithril Shooter[蒼嵐のミスリルシューター]]|80|2140|2315|エレメントアーチャー(Lv1～)|19396
|[Spell of Vanguard[スペルオブバンガード]]|83|2228|2406|エレメントアーチャー(Lv1～)|19406
|[Supreme Ruler's Arabesque Shooter[覇王のアラベスクシューター]]|86|2275|2454|エレメントアーチャー(Lv80～)|19416
|[Ablaze Twin Spell[アブレイズツインスペル]]|88|2338|2517|エレメントアーチャー(Lv80～)|19426
|[Adamas Military Expedition Shooter[征戦のアダマスシューター]]|90|2434|2621|エレメントアーチャー(Lv1～)|19719
|[Spell of Agitator[スペルオブアジテイター]]|93|2474|2657|エレメントアーチャー(Lv1～)|19720
|[Holy Night's Fir Spell[聖夜のファースペル]]|25|1225|1225|エレメントアーチャー(Lv1～)|19584
|[Curse Shooter of Serpent Wings[蛇翼のカースシューター]]|96|2522|2706|エレメントアーチャー(Lv85～)|19436
|[Spell of Strife[スペルオブストライフ]]|98|2587|2771|エレメントアーチャー(Lv85～)|19446
|[Intellect's Weise Shooter[識者のヴァイゼシューター]]|102|2664|2851|エレメントアーチャー(Lv1～)|19951
|[Spell of Kenntnis[スペルオブケントニス]]|105|2730|2917|エレメントアーチャー(Lv1～)|19952
|[Twin Shooter of Glowing Embers[熾火のツインシューター]]|106|2780|2969|エレメントアーチャー(Lv90～)|19953
|[Spell of Altesch[スペルオブアルテッシュ]]|108|2846|3036|エレメントアーチャー(Lv90～)|19954
|[Honnête Shooter of Purity[純真のオネットシューター]]|112|2928|3119|エレメントアーチャー(Lv1～)|20309
|[Spell of Fedeltà[スペルオブフェデルタ]]|115|2995|3188|エレメントアーチャー(Lv1～)|20310
|[[聖戦のスフィダンテシューター]]|116|3048|3242|エレメントアーチャー(Lv95～)|20311
|[Spell of Vainqueur[スペルオブヴァンクール]]|118|3117|3311|エレメントアーチャー(Lv95～)|20312
|[Spell of Kraken[スペルオブクラーケン]]|130|3184|3378|エレメントアーチャー(Lv1〜)|24998
|[[失われし大陸のローバースペル]]|130|3184|3378|エレメントアーチャー(Lv1〜)|23983
|[[凍てつきし氷晶のエルガースペル]]|135|3316|3510|[[エレメントアーチャー]](Lv1〜)|23985
|[Spell of Ice Age[スペルオブアイスエイジ]]|135|3342|3536|[[エレメントアーチャー]](Lv1〜)|25000
|[Spell of Guardian[スペルオブガーディアン]]|140|3451|3650|[[エレメントアーチャー]](Lv1〜)|25586

**Event/Special
|[Marquis Spell[スペルオブマーキス]]||255|372|エレメントアーチャー(Lv1～)|11551
|[Olfring Shooter (Green)[オーフリングシューター【翠】]]||187|299|エレメントアーチャー(Lv1～)|12391
|[Olfring Shooter (Blue)[オーフリングシューター【蒼】]]||187|299|エレメントアーチャー(Lv1～)|12381
|[Crimson Spell[クリムゾンスペル＋3]]|75|2113|2288|エレメントアーチャー(Lv80～)|19182
|[Black Venom Spell[ブラックヴェノムスペル]]|45|1790|1519|エレメントアーチャー(Lv1～)|18555

**Rusted
|[Rusted Magick Bow[錆びた魔道弓]]|1|23|121|エレメントアーチャー(Lv1～)|15833
|┗ [Polished Spell[ポリッシュドスペル]]|20|1423|1584|エレメントアーチャー(Lv1～)|15838
|[Conspicuous Rusted Magick Bow[異彩を放つ錆びた魔道弓＋1]]|1|23|121|エレメントアーチャー(Lv1～)|16979
|┗ [Dragon's Supreme[ドラゴンズスプリーム＋1]]|50|1795|1965|エレメントアーチャー(Lv1～)|16984
|[Conspicuous Rusted Magick Bow[異彩を放つ錆びた魔道弓＋2]]|2|23|121|エレメントアーチャー(Lv1～)|16586
|┗ [Dragon's Supreme[ドラゴンズスプリーム＋2]]|55|1865|2035|エレメントアーチャー(Lv1～)|16984
|[Conspicuous Rusted Magick Bow[異彩を放つ錆びた魔道弓＋3]]|1|||エレメントアーチャー(Lv1～)|16992
|┗ [Dragon's Supreme[ドラゴンズスプリーム＋3]]|60|1914|2084|エレメントアーチャー(Lv1～)|16997
