**Cane ITEM LIST   
||Name|Rank|P-ATK|M-ATK|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
|[Rousing Schlucht Cane[奮起のシュルフトケイン]]|115|2900|3051|プリースト(Lv98～)|20318
|[Genereux Staff[ジェネルースタッフ]]|118|2980|3132|プリースト(Lv100～)|20323
|[Chaleur[シャルール]]|120|3056|3208|プリースト(Lv100～)|20328
|[[精霊の杖]]|130|3116|3268|プリースト(Lv100～)|23986
|[[炎王の杖]]|130|3116|3268|プリースト(Lv100～)|23991
|[[白翼の杖]]|130|3116|3268|プリースト(Lv100～)|23996
|[[黄金の杖]]|130|3116|3268|プリースト(Lv100～)|24001
|[[黒砕の杖]]|135|3248|3400|プリースト(Lv100～)|24006

**Gatcha
|[Azure Closer of Sparks[閃光のアズールクロウサー]]|7|214|306|プリースト(Lv15～)|10386
|[Mark of the Wicked Soul Rampage[邪印のブラッドスタッフ]]|7|286|381|プリースト(Lv15～)|10391
|[Dragon's Staff[ドラゴンズスタッフ]]|11|148|235|プリースト(Lv1～)|10381
|[Azure Closer of Warding Evil[退魔のアズールクロウサー]]|11|955|1073|プリースト(Lv45～)|12791
|[Alchemy Despairer[アルケミーディスペラー]]|12|148|235|プリースト(Lv1～)|11708
|[Salvation Staff[サルヴェーションスタッフ]]|16|214|306|プリ―スト(Lv1～)|14127
|[Corundum Cane of Heroes[豪傑のコランダムケイン]]|25|1384|1509|プリ―スト(Lv55～)|14132
|[Obsidian Staff[オブシディアンスタッフ]]|31|286|381|プリ―スト(Lv1～)|14133
|[Tri-Caster of Legacy[遺宝のトライキャスター]]|40|1596|1725|プリ―スト(Lv60～)|14138
|[Arisen's Dispeller[アリズンズディスペラー]]|45|||プリ―スト(Lv1～)|15863
|[Roaring Blaze Scale Staff[猛炎のスケイルスタッフ]]|55|1797|1930|プリ―スト(Lv70～)|16516
|[Melty Staff[メルティ・スタッフ]]|45|1417|1542|プリ―スト(Lv1～)|16782
|[Sincere Staff[シンシアー・スタッフ]]|45|1417|1542|プリ―スト(Lv1～)|16783
|[Staff of Radiance[スタッフオブラディアンス]]|60|378|478|プリ―スト(Lv1～)|15868
|[Tyrant Staff of Torn Light[破光のタイラントスタッフ]]|70|2025|2162|プリ―スト(Lv75～)|16517
|[Blue Storm Mithril Staff[蒼嵐のミスリルスタッフ]]|80|2079|2216|プリ―スト(Lv1～)|19393
|[Staff of Vanguard[スタッフオブバンガード]]|83|2166|2305|プリ―スト(Lv1～)|19403
|[Supreme Ruler's Arabesque Staff[覇王のアラベスクスタッフ]]|86|2212|2353|プリ―スト(Lv80～)|19413
|[Ablaze Staff[アブレイズスタッフ]]|88|2275|2416|プリ―スト(Lv80～)|19423
|[Adamas Military Expedition Staff[征戦のアダマススタッフ]]|90|2375|2517|プリ―スト(Lv1～)|19726
|[Staff of Agitator[スタッフオブアジテイター]]|93|2410|2553|プリ―スト(Lv1～)|19727
|[Holy Night's Candy Cane[聖夜のキャンディケイン]]|25|1225|1225|プリ―スト(Lv1～)|19586
|[Silver Cane of Serpent Wings[蛇翼のシルバーケイン]]|96|2457|2602|プリ―スト(Lv85～)|19433
|[Staff of Strife[スタッフオブストライフ]]|98|2522|2667|プリ―スト(Lv85～)|19443
|[Intellect's Weise Cane[識者のヴァイゼケイン]]|102|2599|2745|プリースト(Lv1～)|19975
|[Staff of Kenntnis[スタッフオブケントニス]]|105|2664|2811|プリースト(Lv1～)|19976
|[Spine Cane of Glowing Embers[熾火のスパインケイン]]|106|2714|2862|プリースト(Lv90～)|19977
|[Staff of Altesch[スタッフオブアルテッシュ]]|108|2780|2928|プリースト(Lv90～)|19978
|[Honnête Cane of Purity[純真のオネットケイン]]|112|2860|3010|プリースト(Lv1～)|20337
|[Staff of Fedeltà[スタッフオブフェデルタ]]|115|2928|3079|プリースト(Lv1～)|20342
|[[聖戦のスフィダンテケイン]]|116|2980|3132|プリースト(Lv95～)|20343
|[Staff of Vainqueur[スタッフオブヴァンクール]]|118|3049|3201|プリースト(Lv95～)|20344
|[Staff of Kraken[スタッフオブクラーケン]]|130|3116|3268|プリースト(Lv1〜)|25001
|[[失われし大陸のローバースタッフ]]|130|3116|3268|プリースト(Lv1〜)|24011
|[[凍てつきし氷晶のエルガースタッフ]]|135|3248|3400|[[プリースト]](Lv1〜)|24013
|[Staff of Ice Age[スタッフオブアイスエイジ]]|135|3274|3426|[[プリースト]](Lv1〜)|25003
|[Staff of Guardian[スタッフオブガーディアン]]|140|3381|3537|[[プリースト]](Lv1〜)|25587

**Event/Special
|[Olfring Cane (Green)[オーフリングケイン【翠】]]||30|110|プリ―スト(Lv1～)|10639
|[Olfring Cane (Blue)[オーフリングケイン【蒼】]]||75|158|プリ―スト(Lv1～)|10644
|[Olfring Cane (Red)[オーフリングケイン【紅】]]|7|148|235|プリ―スト(Lv1～)|10634
|[Staff of Nemesis[スタッフオブネメシス]]|6|148|235|プリ―スト(Lv1～)|10396
|[Marquis Staff[スタッフオブマーキス]]||214|306|プリ―スト(Lv1～)|11556
|[Olfring Cane (Radiance)[オーフリングケイン【輝】]]||2079|2216|プリ―スト(Lv80～)|19483
|[Crimson Staff[クリムゾンスタッフ＋3]]|75|2052|2189|プリ―スト(Lv80～)|19187
|[Black Venom Staff[ブラックヴェノムスタッフ]]|45|1596|1725|プリ―スト(Lv1～)|18560
|[Olfring Cane (Sea)[オーフリングケイン【海】]]|55|1771|1904|プリ―スト(Lv1～)|19482

**Rusted
|[Rusted Staff[錆びた杖]]|1|0|65|プリースト(Lv1～)|15853
|┗ [Polished Staff[ポリッシュドスタッフ]]|20|1367|1493|プリースト(Lv1～)|15858
|[Conspicuous Rusted Staff[異彩を放つ錆びた杖＋1]]|1|0|65|プリースト(Lv1～)|16597
|┗ [Chilly Cane[チリーケイン＋1]]|50|1736|1869|プリースト(Lv1～)|16602
|[Conspicuous Rusted Staff[異彩を放つ錆びた杖＋2]]|2|0|65|プリースト(Lv1～)|17001
|┗ [Chilly Cane[チリーケイン＋2]]|55|1806|1939|プリースト(Lv1～)|16603
|[Conspicuous Rusted Staff[異彩を放つ錆びた杖＋3]]|1|||プリースト(Lv1～)|17012
|┗ [Chilly Cane[チリーケイン＋3]]|60|1854|1987|プリースト(Lv1～)|17017
