**Bow ITEM LIST   
||Name|Rank|P-ATK|M-ATK|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
|[Rousing Schlucht Bow[奮起のシュルフトボウ]]|115|3126|2811|ハンター(Lv98～)|20246
|[Anstaing Bow[アンスタンボウ]]|118|3208|2890|ハンター(Lv100～)|20251
|[Enfer[アンフェール]]|120|3284|2978|ハンター(Lv100～)|20256
|[[精霊の弓]]|130|3344|3026|ハンター(Lv100～)|23901
|[[炎王の弓]]|130|3344|3026|ハンター(Lv100～)|23906
|[[白翼の弓]]|130|3344|3026|ハンター(Lv100～)|23911
|[[黄金の弓]]|130|3344|3026|ハンター(Lv100～)|23916
|[[黒砕の弓]]|135|3476|3158|ハンター(Lv100～)|23921


**Gatcha
|[Flood Ray of Sparks[閃光のフラッドレイ]]|7|351|160|ハンター(Lv15～)|10336
|[Mark of the Wicked Vine Stalk[邪印のヴァインストーク]]|7|428|230|ハンター(Lv15～)|10341
|[Dragon's Bow[ドラゴンズボウ]]|11|279|96|ハンター(Lv1～)|10331
|[Flood Ray of Warding Evil[退魔のフラッドレイ]]|11|1132|886|ハンター(Lv46～)|12789
|[Alchemy Piercer[アルケミーピアサー]]|12|279|96|ハンター(Lv1～)|11693
|[Salvation Bow[サルヴェーションボウ]]|16|351|160|ハンター(Lv1～)|14091
|[Sturdiness of Heroes[豪傑のスターディネス]]|25|1572|1310|ハンター(Lv55～)|14096
|[Obsidian Bow[オブシディアンボウ]]|31|428|230|ハンター(Lv1～)|14097
|[Wing Bow of Legacy[遺宝のウイングボウ]]|40|1790|1519|ハンター(Lv60～)|14102
|[Arisen's Piercer[アリズンズピアサー]]|45|477|273|ハンター(Lv1～)|15803
|[Roaring Blaze Scale Bow[猛炎のスケイルボウ]]|55|1997|1718|ハンター(Lv70～)|16510
|[Melty Bow[メルティ・ボウ]]|45|1605|1343|ハンター(Lv1～)|16776
|[Sincere Bow[シンシアー・ボウ]]|45|1605|1343|ハンター(Lv1～)|16777
|[Bow of Radiance[ボウオブラディアンス]]|60|527|319|ハンター(Lv1～)|15808
|[Tyrant Bow of Torn Light[破光のタイラントボウ]]|70|2230|1944|ハンター(Lv75～)|16511
|[Blue Storm Mithril Bow[蒼嵐のミスリルボウ]]|80|2284|1998|ハンター(Lv1～)|19391
|[Arrow of Vanguard[アロウオブバンガード]]|83|2375|2083|ハンター(Lv1～)|19401
|[Supreme Ruler's Arabesque Bow[覇王のアラベスクボウ]]|86|2423|2129|ハンター(Lv80～)|19411
|[Ablaze Composite[アブレイズコンポジット]]|88|2486|2192|ハンター(Lv80～)|19421
|[Adamas Military Expedition Bow[征戦のアダマスボウ]]|90|2589|2290|ハンター(Lv1～)|19705
|[Arrow of Agitator[アロウオブアジテイター]]|93|2625|2325|ハンター(Lv1～)|19706
|[Holy Night's Tannenbaum Bow[聖夜のタネンバウムボウ]]|25|1225|1225|ハンター(Lv1～)|19580
|[Longbow of Serpent Wings[蛇翼のロングボウ]]|96|2674|2372|ハンター(Lv85～)|19431
|[Bow of Strife[ボウオブストライフ]]|98|2739|2437|ハンター(Lv85～)|19441
|[Intellect's Weise Arrow[識者のヴァイゼアロウ]]|102|2818|2513|ハンター(Lv1～)|19903
|[Bow of Kenntnis[ボウオブケントニス]]|105|2884|2577|ハンター(Lv1～)|19904
|[Longbow of Glowing Embers[熾火のロングボウ]]|106|2936|2626|ハンター(Lv90～)|19905
|[Arrow of Altesch[アロウオブアルテッシュ]]|108|3002|2692|ハンター(Lv90～)|19906
|[Honnête Bow of Purity[純真のオネットボウ]]|112|3085|2772|ハンター(Lv1～)|20261
|[Bow of Fedeltà[ボウオブフェデルタ]]|115|3154|2838|ハンター(Lv1～)|20262
|[[聖戦のスフィダンテボウ]]|116|3208|2890|ハンター(Lv95～)|20263
|[Arrow of Vainqueur[アロウオブヴァンクール]]|118|3277|2959|ハンター(Lv95～)|20264
|[Arrow of Kraken[アロウオブクラーケン]]|130|3344|3026|ハンター(Lv1〜)|24992
|[[失われし大陸のローバーアロウ]]|130|3344|3026|ハンター(Lv1〜)|23926
|[[凍てつきし氷晶のエルガーアロウ]]|135|3476|3158|[[ハンター]](Lv1〜)|23928
|[Arrow of Ice Age[アロウオブアイスエイジ]]|135|3502|3184|[[ハンター]](Lv1〜)|24994
|[Bow of Guardian[ボウオブガーディアン]]|140|3615|3289|[[ハンター]](Lv1〜)|25584
|[[城塞近衛兵の剛弓]]|145|3868|3534|[[ハンター]](Lv1〜)|25597

**Event/Special
|[Bow of Nemesis[ボウオブネメシス]]|6|279|96|ハンター(Lv1～)|10346
|[Olfring Bow (Black)[オーフリングボウ【玄】]]|3|126|0|ハンター(Lv1～)|10738
|[Olfring Bow (Blue)[オーフリングボウ【蒼】]]|3|126|0|ハンター(Lv1～)|10723
|[Olfring Bow (Red)[オーフリングボウ【紅】]]|4|150|0|ハンター(Lv1～)|10713
|[Olfring Bow (Heaven)[オーフリングボウ【天】]]|4|150|0|ハンター(Lv1～)|10728
|[Olfring Bow (Earth)[オーフリングボウ【地】]]|12|322|134|ハンター(Lv1～)|10733
|┗[Ceremonial Bow (Earth)[セレモニアルボウ【地】]]|22|1364|1110|ハンター(Lv1～)|13992
|　┗[[リチュアリィボウ【地】]]|35|1555|1293|ハンター(Lv1～)|13997
|　　┗[[c】]]|50|1757|1486|ハンター(Lv1～)|13997
|　　　┗[Ceremonial Bow+ (Earth)[セレモニアルボウ改【地】]]|65|1984|1706|ハンター(Lv1～)|16688
|[Olfring Bow (Green)[オーフリングボウ【翠】]]||279|96|ハンター(Lv1～)|10718
|[Marquis Bow[ボウオブマーキス]]||351|160|ハンター(Lv1～)|11541
|[Crimson Bow[クリムゾンボウ＋3]]|75|2257|1971|ハンター(Lv80～)|19172
|[Black Venom Bow[ブラックヴェノムボウ]]|45|1790|1519|ハンター(Lv1～)|18545
|[Olfring Bow (Sea)[オーフリングボウ【海】]]|40|1756|1485|ハンター(Lv1～)|19478
|[Olfring Bow (Sunlight)[オーフリングボウ【陽】]]|40|1756|1485|ハンター(Lv1～)|19479
|[Olfring Bow (Radiance)[オーフリングボウ【輝】]]|55|1970|1692|ハンター(Lv1～)|19544
|[Olfring Bow (Crimson)[オーフリングボウ【朱】]]|110|2995|2685|ハンター(Lv1～)|24947
|[Olfring Bow (Forest)[オーフリングボウ【森】]]|113|3139|2824|ハンター(Lv1～)|19539
|[Olfring Bow (Spirit)[オーフリングボウ【精】]]|110|2995|2685|ハンター(Lv1～)|24965

**Rusted
|[Rusted Bow[錆びた弓]]|1|104|0|ハンター(Lv1～)|15793
|┗ [Polished Bow[ポリッシュドボウ]]|20|1555|1293|ハンター(Lv1～)|15798
|[Conspicuous Rusted Bow[異彩を放つ錆びた弓＋1]]|1|104|0|ハンター(Lv1～)|16567
|┗ [Dragon's Blink[ドラゴンズブリンク＋1]]|50|1935|1657|ハンター(Lv1～)|16572
|[Conspicuous Rusted Bow[異彩を放つ錆びた弓＋2]]|1|||ハンター(Lv1～)|16941
|┗ [Dragon's Blink[ドラゴンズブリンク＋2]]|55|2005|1727|ハンター(Lv1～)|16947
|[Conspicuous Rusted Bow[異彩を放つ錆びた弓＋3]]|1|||ハンター(Lv1～)|16952
|┗ [Dragon's Blink[ドラゴンズブリンク＋3]]|60|2054|1776|ハンター(Lv1～)|16574
