**Spear ITEM LIST   
||Name|Rank|P-ATK|M-ATK|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
|[Melty Spear[メルティ・スピア]]|45|1613|1524|スピリットランサー(Lv1～)|16786
|[Sincere Spear[シンシアー・スピア]]|45|1613|1524|スピリットランサー(Lv1～)|16787
|[Spear of Radiance[スピアオブラディアンス]]|60|534|463|スピリットランサー(Lv1～)|15908
|[Tyrant Spear of Torn Light[破光のタイラントスピア]]|70|2239|2142|スピリットランサー(Lv75～)|16521
|[Blue Storm Mithril Lance[蒼嵐のミスリルランス]]|80|2293|2196|スピリットランサー(Lv1～)|19399
|[Lance of Vanguard[ランスオブバンガード]]|83|2384|2285|スピリットランサー(Lv1～)|19409
|[Ghosts 'n Goblins Arthur's Lance[魔界村アーサーのヤリ]]|80|2291|2194|スピリットランサー(Lv1～)|19512
|[Supreme Ruler's Arabesque Spear[覇王のアラベスクスピア]]|86|2432|2332|スピリットランサー(Lv80～)|19419
|[Ablaze Partisan[アブレイズパルチザン]]|88|2495|2395|スピリットランサー(Lv80～)|19429
|[Adamas Military Expedition Lance[征戦のアダマスランス]]|90|2598|2497|スピリットランサー(Lv1～)|19740
|[Lance of Agitator[ランスオブアジテイター]]|93|2634|2532|スピリットランサー(Lv1～)|19741
|[Holy Night's Tree Lance[聖夜のツリーランス]]|25|1225|1225|スピリットランサー(Lv1～)|19590
|[Swordstaff of Serpent Wings[蛇翼のソードスタッフ]]|96|2684|2581|スピリットランサー(Lv85～)|19439
|[Lance of Strife[ランスオブストライフ]]|98|2748|2646|スピリットランサー(Lv85～)|19449
|[Intellect's Weise Spear[識者のヴァイゼスピア]]|102|2828|2724|スピリットランサー(Lv1～)|20023
|[Lance of Kenntnis[ランスオブケントニス]]|105|2894|2789|スピリットランサー(Lv1～)|20024
|[Screw Lance of Glowing Embers[熾火のスクリューランス]]|106|2946|2840|スピリットランサー(Lv90～)|20025
|[Spear of Altesch[スピアオブアルテッシュ]]|108|3012|2907|スピリットランサー(Lv90～)|20026
|[Honnête Spear of Purity[純真のオネットスピア]]|112|3095|2988|スピリットランサー(Lv1～)|20393
|[Lance of Fedeltà[ランスオブフェデルタ]]|115|3164|3057|スピリットランサー(Lv1～)|20394
|[[鮮血の荊棘槍]]|115|3136|3029|スピリットランサー(Lv1～)|23540
|[[聖戦のスフィダンテスピア]]|116|3218|3110|スピリットランサー(Lv95～)|20395
|[Spear of Vainqueur[スピアオブヴァンクール]]|118|3287|3179|スピリットランサー(Lv95～)|20396
|[Lance of Kraken[ランスオブクラーケン]]|130|3354|3246|スピリットランサー(Lv1〜)|25007
|[[失われし大陸のローバーランス]]|130|3354|3246|スピリットランサー(Lv1〜)|24068
|[Lance of Ice Age[ランスオブアイスエイジ]]|135|3512|3404|[[スピリットランサー]](Lv1〜)|25009
|[Lance of Guardian[ランスオブガーディアン]]|140|3625|3515|[[スピリットランサー]](Lv1〜)|25589

**Event/Special
|[Crimson Spear[クリムゾンスピア＋3]]|75|2266|2169|スピリットランサー(Lv80～)|19197
|[Black Venom Spear[ブラックヴェノムスピア]]|45|1798|1706|スピリットランサー(Lv1～)|18570

**Rusted
|[Rusted Spirit Lance[錆びた精霊槍]]|1|109|54|スピリットランサー(Lv1～)|15893
|┗ [Polished Lance[ポリッシュドランス]]|20|1564|1475|スピリットランサー(Lv1～)|15898
|[Conspicuous Rusted Spirit Lance[異彩を放つ錆びた精霊槍＋1]]|1|||スピリットランサー(Lv1～)|16617
|┗ [Everlance[エヴァーランス＋1]]|50|1944|1850|スピリットランサー(Lv1～)|16622
|[Conspicuous Rusted Spirit Lance[異彩を放つ錆びた精霊槍＋2]]|1|||スピリットランサー(Lv1～)|17041
|┗ [Everlance[エヴァーランス＋2]]|55|2014|1920|スピリットランサー(Lv1～)|17046
|[Conspicuous Rusted Spirit Lance[異彩を放つ錆びた精霊槍＋3]]|1|||スピリットランサー(Lv1～)|17052
|┗ [Everlance[エヴァーランス＋3]]|60|2063|1968|スピリットランサー(Lv1～)|17047
