C2S_BLACK_LIST_GET_BLACK_LIST_REQ 17.0.1
S2C_PAWN_EXPEDITION_PAWN_EXPEDITION_GET_SALLY_REWARD_RES 58.5.2
S2C_PAWN_EXPEDITION_PAWN_EXPEDITION_SALLY_RES 58.3.2
S2C_QUEST_11_103_16_NTC 11.103.16
S2C_QUEST_11_117_16_NTC 11.117.16
S2C_QUEST_11_118_16_NTC 11.118.16
S2C_QUEST_11_7_16_NTC 11.7.16
S2C_QUEST_11_83_16_NTC 11.83.16
S2C_QUEST_11_88_16_NTC 11.88.16
S2C_QUEST_11_95_16_NTC 11.95.16
S2C_QUEST_GET_CYCLE_CONTENTS_SITUATION_INFO_LIST_RES 11.38.2
S2C_QUEST_LIGHT_QUEST_GP_COMPLETE_RES 11.23.2
S2C_QUEST_QUEST_BOARD_RELOAD_NTC 11.68.16
S2C_SEASON_62_27_16_NTC 62.27.16
S2C_WARP_GET_AREA_WARP_POINT_LIST_RES 14.8.2
