Ext, Class
hni, rHideNpcNameInfo
ik, rCnsIK
ikctrl, rIKCtrl
ipa, rItemList
ir_adj, rOcdIrAdj
ir_adj_pl, rOcdIrAdjPL
jbi, rJukeBoxItem
jcp, rJobCustomParam
jex2, rJointEx2
jlt2, rJobLevelUpTbl2
jmc, rJobMasterCtrl
jmp, rJumpParamTbl
jnt_info, rJointInfo
jnt_order, rJointOrder
jobbase, rJobBaseParam
jtq, rJobTutorialQuestList
kcm, rKeyCommand
kcp, rKeyCustomParam
kctt, rKeyConfigTextTable
lae, rLinkageEnemy
lai, rLandInfo
lcd, rLocationData
lcm, rCameraList
lcp, rLargeCameraParam
ldp, rLoadingParam
leg_ctrl, rLegCtrl
lmt, rMotionList
lop, rLayoutPreset
lot, rLayout
lrc, rLanguageResIDConverter
lup, rEmLvUpParam
map, rMandraActionParam
mcm, rMandraCharaMake
mcw, rMagicCommandWord
mdr, rMandraReaction
mgcc, rMagicCommandList
mmc, rMandraMotCombine
mod, rModel
mot_filter, rMotionFilter
motparam, rMotionParam
mra, rMyRoomActParam
mrl, rMaterial
msd, rMapSpotData
mser, rSoundMotionSe
msl, rMapSpotStageList
mss, rMsgSet
nav, rNavigationMesh
nci, rNpcConstItem
ncs, rNpcCustomSkill
ndp, rNamedParam
ned, rNpcEditData
nem, rNPCEmoMyRoom
nll, rNpcLedgerList
nmm, rNPCMotMyRoom
nmp, rNpcMeetingPlace
nms, rNPCMotionSet
nsd, rAcquirement::rNormalSkillData
nsp, rNpcIsNoSetPS3
nvc, rNavConnect
oIp, rOcdImmuneParamRes
occ, rOccluder
oce, rOccluderEx
ofi, rOutfitInfo
olp, rOutlineParamList
omk, rOmKey
ompe, rOmParamEx
ompp, rOmParamPart
opp, rOcdPriorityParam
osp, rOcdStatusParamRes
paa, rPawnAIAction
pam, rAIPawnAutoMotionTbl
pao, rAIPawnOrder
pas, rAIPawnActNoSwitch
paw, rAIPawnAutoWordTbl
pc_ptkc, rAIPawnCulPrioThinkCategory
peg, rEmoteGroup
pen, rkThinkData
pep, rAIPawnEmParam
phs, rPrologueHmStatus
planet, rPlanetariumItem
plt, rPlantTree
plu, rPawnThinkLevelUp
ppr, rPartnerReactParam
ppt, rPartnerPawnTalk
pqi, rPackageQuestInfo
pqt, rPawnQuestTalk
prs, rParentRegionStatusParam
ps_info, rAIPawnSpecialityInfo
psi, rPlPartsInfo
pssc, rPawnSpSkillCategoryUI
pssl, rPawnSpSkillLevelUI
ptc, rPartsCtrlTable
ptc, rPawnThinkControl
ptk, rPriorityThink
push_rate, rPushRate
qhd, rQuestHistoryData
qmi, rQuestMarkerInfo
qsq, rQuestSequenceList
qst, rQuestList
qtd, rQuestTextData
rac, rReaction
rag, rRageTable
rbd, rRigidBody
rds, rRecommendDragonSkill
reg_ersion, rErosionRegion
reg_info, rErosionInfoRes
repgmdlist, rReplaceWardGmdList
revr, rSoundReverb
rsl, rChildRegionStatusParamList
rtex, rRenderTargetTexture
rwr, rRoomWearParam
sal, rStageAdjoinList
sal2, rStageAdjoinList2
sar, rSoundAreaInfo
sbb, rSoundBossBgm
sbc, rCollision
sbkr, rSoundBank
sbv, rShrinkBlowValue
sca, rStageCustom
scc, rStageConnect
sce, rScenario
sck, rStatusCheck
scl_change, rErosionRegionScaleChange
scpx, rStageCustomPartsEx
scsr, rSoundCurveSet
sdl, rScheduler
sdsr, rSoundDirectionalSet
sdt, rStaminaDecTbl
sg_tbl, rStatusGainTable
shake_ctrl, rShakeCtrl
shi, rSoundHitInfo
shl, rShlParamList
sit, rSitePack
sja, rStageJoint
sky, rSky
slm, rShlLimit
slt, rStageList
smc, rSituationMsgCtrl
smp, rStageMap
sms, rSoundSubMixerSet
smxr, rSoundSubMixer
sn2, rAISensor
sot, rSoundOptData
spg_tbl, rShopGoods
spl, rSndPitchLimit
spo, rSoundParamOfs
sri, rShotReqInfo
sri2, rShotReqInfo2
srqr, rSoundRequest
ssqr, rSoundSequenceSe
sta, rStartPosArea
stc, rStarCatalog
sti, rStageInfo
stp, rStartPos
stqr, rSoundStreamRequest
sts, rStageToSpot
swm, rSwingModel
tcm, rTbl2ChatMacro
tco, rTargetCursorOffset
tde, rTexDetailEdit
tdm, rTutorialDialogMessage
tex, rTexture
tlt, rTutorialList
tmc, rTblMenuComm
tmo, rTblMenuOption
tqg, rTutorialQuestGroup
ujp, rNpcIsUseJobParamEx
vib, rVibration
wal, rWarpLocation
wallmaria, rEmWeakSafe
wcrt, rWepCateResTbl
wep, rWeatherEffectParam
wp2, rWaypoint2
wpn_ofs, rWeaponOffset
wpt, rWaypoint
wrt, rWeaponResTable
wsi, rWeatherStageInfo
wta, rWeatherInfoTbl
wte, rWeatherParamEfcInfo
wtf, rWeatherFogInfo
wtl, rWeatherParamInfoTbl
xsew, rSoundSourceMSADPCM
zon, rZone
