Ext, Class
lai, rLandInfo
lcd, rLocationData
lcm, rCameraList
lcp, rLargeCameraParam
ldp, rLoadingParam
leg_ctrl, rLegCtrl
lmt, rMotionList
lop, rLayoutPreset
lot, rLayout
lrc, rLanguageResIDConverter
lup, rEmLvUpParam
mcw, rMagicCommandWord
mgcc, rMagicCommandList
mod, rModel
mot_filter, rMotionFilter
motparam, rMotionParam
mra, rMyRoomActParam
mrl, rMaterial
msd, rMapSpotData
mser, rSoundMotionSe
msl, rMapSpotStageList
mss, rMsgSet
nav, rNavigationMesh
nci, rNpcConstItem
ncs, rNpcCustomSkill
ndp, rNamedParam
ned, rNpcEditData
nem, rNPCEmoMyRoom
nll, rNpcLedgerList
nmm, rNPCMotMyRoom
nmp, rNpcMeetingPlace
nms, rNPCMotionSet
nsd, rAcquirement::rNormalSkillData
nsp, rNpcIsNoSetPS3
oIp, rOcdImmuneParamRes
occ, rOccluder
oce, rOccluderEx
olp, rOutlineParamList
omk, rOmKey
omp, rOmParam
opp, rOcdPriorityParam
osp, rOcdStatusParamRes
paa, rPawnAIAction
pam, rAIPawnAutoMotionTbl
pao, rAIPawnOrder
pas, rAIPawnActNoSwitch
paw, rAIPawnAutoWordTbl
peg, rEmoteGroup
pen, rkThinkData
pep, rAIPawnEmParam
phs, rPrologueHmStatus
plt, rPlantTree
ppr, rPartnerReactParam
ppt, rPartnerPawnTalk
pqt, rPawnQuestTalk
prs, rParentRegionStatusParam
psi, rPlPartsInfo
ptc, rPartsCtrlTable
ptk, rPriorityThink
push_rate, rPushRate
qhd, rQuestHistoryData
qmi, rQuestMarkerInfo
qsq, rQuestSequenceList
qst, rQuestList
qtd, rQuestTextData
rac, rReaction
rag, rRageTable
rbd, rRigidBody
reg_ersion, rErosionRegion
reg_info, rErosionInfoRes
repgmdlist, rReplaceWardGmdList
revr, rSoundReverb
rsl, rChildRegionStatusParamList
rtex, rRenderTargetTexture
rwr, rRoomWearParam
sal, rStageAdjoinList
sar, rSoundAreaInfo
sbb, rSoundBossBgm
sbc, rCollision
sbkr, rSoundBank
sbv, rShrinkBlowValue
sca, rStageCustom
scc, rStageConnect
sce, rScenario
sck, rStatusCheck
scl_change, rErosionRegionScaleChange
scp, rStageCustomParts
scpx, rStageCustomPartsEx
scsr, rSoundCurveSet
sdl, rScheduler
sdsr, rSoundDirectionalSet
sdt, rStaminaDecTbl
sg_tbl, rStatusGainTable
shake_ctrl, rShakeCtrl
shi, rSoundHitInfo
shl, rShlParamList
sja, rStageJoint
sky, rSky
slm, rShlLimit
slt, rStageList
smc, rSituationMsgCtrl
smp, rStageMap
sms, rSoundSubMixerSet
smxr, rSoundSubMixer
sn2, rAISensor
sot, rSoundOptData
spg_tbl, rShopGoods
spl, rSndPitchLimit
spo, rSoundParamOfs
sri, rShotReqInfo
sri2, rShotReqInfo2
srqr, rSoundRequest
ssqr, rSoundSequenceSe
sta, rStartPosArea
stc, rStarCatalog
sti, rStageInfo
stp, rStartPos
stqr, rSoundStreamRequest
sts, rStageToSpot
swm, rSwingModel
tcm, rTbl2ChatMacro
tco, rTargetCursorOffset
tde, rTexDetailEdit
tdm, rTutorialDialogMessage
tex, rTexture
tlt, rTutorialList
tmc, rTblMenuComm
tmo, rTblMenuOption
tqg, rTutorialQuestGroup
ujp, rNpcIsUseJobParamEx
vib, rVibration
wal, rWarpLocation
wallmaria, rEmWeakSafe
wcrt, rWepCateResTbl
wep, rWeatherEffectParam
wp2, rWaypoint2
wpn_ofs, rWeaponOffset
wpt, rWaypoint
wrt, rWeaponResTable
wsi, rWeatherStageInfo
wta, rWeatherInfoTbl
wte, rWeatherParamEfcInfo
wtf, rWeatherFogInfo
wtl, rWeatherParamInfoTbl
xsew, rSoundSourceMSADPCM
zon, rZone
