Mandragora - Larva      ID = 1
Veggie Mandragora - Larva      ID = 401
Veggie Mandragora - Adult      ID = 402
Veggie Mandragora - Houseplant      ID = 403
Mandra Flower      ID = 404
Mandra Flower - Gold      ID = 405
Mandra Flower - Purple      ID = 406
Mandra Bouquet - Gold      ID = 407
Mandra Bouquet - Purple      ID = 408
Mandra Mushroom - Gold      ID = 409
Mandra Mushroom - Purple      ID = 410
Mushrooms - Gold      ID = 411
Mushrooms - Purple      ID = 412
Mandrangea - Blue      ID = 413
Mandrangea - Pink      ID = 414
Mandrangea - Purple      ID = 415
Mandra Rose      ID = 416
Mandra Rose - Gold      ID = 417
Mandra Rose - Purple      ID = 418
Mandra Freesia - Gold      ID = 419
Mandra Freesia - Purple      ID = 420
(Copper) Mandragora - Larva      ID = 501
(Copper) Mandragora - Adult      ID = 502
(Copper) Mandra Flower      ID = 503
(Copper) Mandra Flower - Blue      ID = 504
(Copper) Mandra Flower - Red      ID = 505
(Copper) Mandra Flower - Yellow      ID = 506
(Copper) Mandra Flower - White      ID = 507
(Copper) Mandra Bouquet - Blue      ID = 508
(Copper) Mandra Bouquet - Red      ID = 509
(Copper) Mandra Bouquet - Yellow      ID = 510
(Copper) Mandra Bouquet - White      ID = 511
(Copper) Mushroom - Blue      ID = 512
(Copper) Mushroom - Red      ID = 513
(Copper) Mushroom - Yellow      ID = 514
(Copper) Mushroom - White      ID = 515
(Copper) Mushrooms - Blue      ID = 516
(Copper) Mushrooms - Red      ID = 517
(Copper) Mushrooms - Yellow      ID = 518
(Copper) Mushrooms - White      ID = 519
(Copper) Mandra Tree - Withered Tree      ID = 520
(Copper) Mandra Tree - One-third Bloom      ID = 521
(Copper) Mandra Tree - Full Bloom      ID = 522
(Silver) Mandra Flower - Blue      ID = 531
(Silver) Mandra Flower - Red      ID = 532
(Silver) Mandra Flower - Yellow      ID = 533
(Silver) Mandra Flower - White      ID = 534
(Silver) Mandra Bouquet - Blue      ID = 535
(Silver) Mandra Bouquet - Red      ID = 536
(Silver) Mandra Bouquet - Yellow      ID = 537
(Silver) Mandra Bouquet - White      ID = 538
(Silver) Mushroom - Blue      ID = 539
(Silver) Mushroom - Red      ID = 540
(Silver) Mushroom - Yellow      ID = 541
(Silver) Mushroom - White      ID = 542
(Silver) Mushrooms - Blue      ID = 543
(Silver) Mushrooms - Red      ID = 544
(Silver) Mushrooms - Yellow      ID = 545
(Silver) Mushrooms - White      ID = 546
(Silver) Mandra Tree - Withered Tree      ID = 547
(Silver) Mandra Tree - One-third Bloom      ID = 548
(Silver) Mandra Tree - Full Bloom      ID = 549
(Gold) Mandra Bouquet - Blue      ID = 561
(Gold) Mandra Bouquet - Red      ID = 562
(Gold) Mandra Bouquet - Yellow      ID = 563
(Gold) Mandra Bouquet - White      ID = 564
(Gold) Mushrooms - Blue      ID = 565
(Gold) Mushrooms - Red      ID = 566
(Gold) Mushrooms - Yellow      ID = 567
(Gold) Mushrooms - White      ID = 568
(Gold) Mandra Tree - Withered Tree      ID = 569
(Gold) Mandra Tree - One-third Bloom      ID = 570
(Gold) Mandra Tree - Full Bloom      ID = 571
(Black Steel) Mandra Bouquet - Black      ID = 591
(Black Steel) Mushrooms - Black      ID = 592
(Ice) Mandragora - Larva      ID = 601
(Ice) Mandragora - Adult      ID = 602
(Ice) Mandra Flower      ID = 603
(Ice) Mandra Flower - Blue      ID = 604
(Ice) Mandra Bouquet - Blue      ID = 605
(Ice) Mandra Tree - Withered Tree      ID = 606
(Ice) Mandra Tree - One-third Bloom      ID = 607
(Ice) Mandra Tree - Full Bloom      ID = 608
(Ice) Mushroom - Blue      ID = 609
(Ice) Mushrooms - Blue      ID = 610
(Ice) Mandrangea      ID = 611
(Ice) Mandra Rose      ID = 612
(Ice) Mandra Freesia      ID = 613
(Berry) Mandragora - Larva      ID = 621
(Berry) Mandragora - Adult      ID = 622
(Berry) Mandra Flower      ID = 623
(Berry) Mandra Flower - Red      ID = 624
(Berry) Mandra Bouquet - Red      ID = 625
(Berry) Mandra Tree - Withered Tree      ID = 626
(Berry) Mandra Tree - One-third Bloom      ID = 627
(Berry) Mandra Tree - Full Bloom      ID = 628
(Berry) Mushroom - Red      ID = 629
(Berry) Mushrooms - Red      ID = 630
(Berry) Mandrangea      ID = 631
(Berry) Mandra Rose      ID = 632
(Berry) Mandra Freesia      ID = 633
(Honey) Mandragora - Larva      ID = 641
(Honey) Mandragora - Adult      ID = 642
(Honey) Mandra Flower      ID = 643
(Honey) Mandra Flower - Yellow      ID = 644
(Honey) Mandra Bouquet - Yellow      ID = 645
(Honey) Mandra Tree - Withered Tree      ID = 646
(Honey) Mandra Tree - One-third Bloom      ID = 647
(Honey) Mandra Tree - Full Bloom      ID = 648
(Honey) Mushroom - Yellow      ID = 649
(Honey) Mushrooms - Yellow      ID = 650
(Honey) Mandrangea      ID = 651
(Honey) Mandra Rose      ID = 652
(Honey) Mandra Freesia      ID = 653
(Mint) Mandragora - Larva      ID = 661
(Mint) Mandragora - Adult      ID = 662
(Mint) Mandragora - Houseplant      ID = 663
(Mint) Mandra Coconut - Young Tree      ID = 664
(Mint) Mandra Coconut - Mature Tree      ID = 665
(Mint) Mandra Coconut - Fruit      ID = 666
(Blue) Mandragora - Adult      ID = 701
(Red) Mandragora - Adult      ID = 702
(Yellow) Mandragora - Adult      ID = 703
(White) Mandragora - Adult      ID = 704
(Black) Mandragora - Adult      ID = 705
(Blue) Mandra Flower Bloom      ID = 706
(Red) Mandra Flower Bloom      ID = 707
(Yellow) Mandra Flower Bloom      ID = 708
(White) Mandra Flower Bloom      ID = 709
(Black) Mandra Flower Bloom      ID = 710
(Blue) Mandra Blossom      ID = 711
(Red) Mandra Blossom      ID = 712
(Yellow) Mandra Blossom      ID = 713
(White) Mandra Blossom      ID = 714
(Black) Mandra Blossom      ID = 715
(Blue) Mandra Rose      ID = 716
(Red) Mandra Rose      ID = 717
(Yellow) Mandra Rose      ID = 718
(White) Mandra Rose      ID = 719
(Black) Mandra Rose      ID = 720
(Blue) Mandra Rose      ID = 751
(Blue) Mandra Freesia      ID = 752
(Red) Mandra Rose      ID = 755
(Red) Mandra Freesia      ID = 756
(Yellow) Mandra Rose      ID = 761
(Yellow) Mandra Freesia      ID = 762
(White) Mandra Rose      ID = 765
(White) Mandra Freesia      ID = 766
(Black) Mandra Rose      ID = 771
(Black) Mandra Freesia      ID = 772
(Bronze) Mandrups Flower Blue      ID = 801
(Gold Copper) Mandrups Flower Red      ID = 802
(Brass) Mandrups Flower Yellow      ID = 803
(White Silver) Mandrups Flower White      ID = 804
(Obsidian) Mandrups Flower Black      ID = 805
(Bronze) Mandrups Bouquet      ID = 806
(Gold Copper) Mandrups Bouquet      ID = 807
(Brass) Mandrups Bouquet      ID = 808
(White Silver) Mandrups Bouquet      ID = 809
(Obsidian) Mandrups Bouquet      ID = 810
(Blue Soil) Mandra Flower - Blue      ID = 851
(Red Soil) Mandra Flower - Red      ID = 852
(Yellow Soil) Mandra Flower - Yellow      ID = 853
(White Soil) Mandra Flower - White      ID = 854
(Black Soil) Mandra Flower - Black      ID = 855
(Blue Soil) Mandra Bouquet - Blue      ID = 856
(Red Soil) Mandra Bouquet - Red      ID = 857
(Yellow Soil) Mandra Bouquet - Yellow      ID = 858
(White Soil) Mandra Bouquet - White      ID = 859
(Black Soil) Mandra Bouquet - Black      ID = 860
(Blue Soil) Mandra Rose - Blue      ID = 861
(Red Soil) Mandra Rose - Red      ID = 862
(Yellow Soil) Mandra Rose - Yellow      ID = 863
(White Soil) Mandra Rose - White      ID = 864
(Black Soil) Mandra Rose - Black      ID = 865
Mandra Pumpkin      ID = 990
Mandra Vampire      ID = 991
Mandra Reindeer      ID = 992
Mandra Santa Claus      ID = 993
Ghost Mandragora      ID = 994
Luminous Mandra Lamp      ID = 995
King Mandragora      ID = 996
Summer Mandragora      ID = 997
Festival Mandragora      ID = 998
