#index,class_name,parent_name,size_param,size_decoded,id_hex,attr,alloc_idx,this_addr,parent_addr,vptr
73,cEmAct015821AtkCannonSearch,cEmAct015821AtkCannonUseBase,80,80,0x73b8be37,0,0,0x0217dca4,0x0217dc44,0x01ae28a8
74,cEmAct015821AtkCannonOrder,cEmAct015821AtkCannonUseBase,80,80,0x00e90c50,0,0,0x0217dcc4,0x0217dc44,0x01ae28a8
75,cEmAct015821AtkCannoSetup,cEmAct015821AtkCannonBase,128,128,0x45bbd856,0,0,0x0217dce4,0x0217dc24,0x01ae28a8
76,cEmAct015821CannonWarp,(root),64,64,0x0650cd55,0,0,0x0217dd04,0x02181b00,0x01ae28a8
77,cEmAct015861SummonOrder,(root),64,64,0x6f264cab,0,0,0x0217dd34,0x02180a84,0x01ae28a8
78,cEmAct015861SummonSet,(root),64,64,0x3feae4c9,0,0,0x0217dd54,0x02180ac4,0x01ae28a8
79,cEmAct015861HateOrder,(root),64,64,0x64d2cdc7,0,0,0x0217dd74,0x02182344,0x01ae28a8
80,cEmAct015861Assist,(root),64,64,0x4973213a,0,0,0x0217dd94,0x021819e0,0x01ae28a8
81,cEmAct015862AtkSpellStart,(root),64,64,0x59b6335a,0,0,0x0217ddb8,0x02180a64,0x01ae28a8
82,cEmAct015862AtkSpellShoot,(root),80,80,0x368b9a6b,0,0,0x0217ddd8,0x02180a84,0x01ae28a8
83,cEmAct015862AtkSummonSet,(root),64,64,0x25d67fc3,0,0,0x0217ddfc,0x02180ac4,0x01ae28a8
84,cEmAct015862AtkSummonShrink,(root),96,96,0x6f1dafdf,0,0,0x0217de1c,0x021811ec,0x01ae28a8
85,cEmAct015862AtkSummonBlow,(root),96,96,0x026b6105,0,0,0x0217de3c,0x0218138c,0x01ae28a8
86,cEmAct015862AtkShrinkComb,(root),80,80,0x689dc037,0,0,0x0217de5c,0x02180924,0x01ae28a8
87,cEmAct015862Ranbu,(root),64,64,0x5fcb3ba7,0,0,0x0217de7c,0x02182344,0x01ae28a8
88,cEmAct015862StaminaHealPre,(root),64,64,0x3d8bc682,0,0,0x0217de9c,0x02182344,0x01ae28a8
89,cEmAct015862StaminaHeal,(root),96,96,0x0c5828bb,0,0,0x0217debc,0x02182344,0x01ae28a8
90,cEm021004SpellStart,(root),64,64,0x6b33e82d,0,0,0x0217dee0,0x02180a64,0x01ae28a8
91,cEm021004SpellShoot,(root),64,64,0x040e411c,0,0,0x0217df00,0x02180a84,0x01ae28a8
92,cEm021004SpellSet,(root),64,64,0x6f91f2b4,0,0,0x0217df20,0x02180aa4,0x01ae28a8
93,cEm021004SummonStaffLoop,(root),64,64,0x37ecefe6,0,0,0x0217df40,0x021822c4,0x01ae28a8
94,cEm021004SummonStaffSet,(root),64,64,0x5324d3b0,0,0,0x0217df60,0x021822c4,0x01ae28a8
95,cEm021004DamageToDown,(root),96,96,0x5a999ca6,0,0,0x0217df80,0x0218148c,0x01ae28a8
96,cEm021004ChanceDown,(root),112,112,0x6dc7b118,0,0,0x0217dfa0,0x021814ec,0x01ae28a8
97,cEm021004GetupFromChanceDown,(root),96,96,0x3cd062cb,0,0,0x0217dfc0,0x0218156c,0x01ae28a8
98,cEm021004Crash,(root),96,96,0x57cf354e,0,0,0x0217dfe0,0x021814ac,0x01ae28a8
99,cEm021004CrashLanding,(root),96,96,0x2dae4ee7,0,0,0x0217e000,0x0218140c,0x01ae28a8
100,cEm021004RegenerateStart,(root),64,64,0x51fa3652,0,0,0x0217e020,0x021822c4,0x01ae28a8
101,cEm021004RegenerateSet,(root),64,64,0x3ccf247a,0,0,0x0217e040,0x021822c4,0x01ae28a8
102,cEm021004Run,(root),64,64,0x72456cde,0,0,0x0217e060,0x02181a00,0x01ae28a8
103,cArmedMultiBonusInfo,(root),12,12,0x5e5d405a,1,0,0x0217e084,0x021e71e8,0x01ae28a8
104,cEmArmor,(root),184,184,0x5e24e771,0,0,0x0217e0a4,0x021e71e8,0x01ae28a8
105,cBakeModel,(root),2560,2560,0x4b7e8f68,0,0,0x0217e0d0,0x021e71e8,0x01ae28a8
106,cBitCtrl,(root),32,32,0x37d0fa5b,0,0,0x0217e0f0,0x021e71e8,0x01ae28a8
107,cBlowShrinkDmInfo,(root),276,276,0x757ef1eb,0,0,0x0217e114,0x021e71e8,0x01ae28a8
108,cDurableInfoBase,(root),4,4,0x7818c44b,1,0,0x0217e134,0x021e71e8,0x01ae28a8
109,cBlowShrinkInfo,cDurableInfoBase,52,52,0x110edf5d,0,0,0x0217e154,0x0217e134,0x01ae28a8
110,cCamExParamAnim,(root),512,512,0x309d447f,0,0,0x0217e17c,0x021c1c9c,0x01ae28a8
111,cCamExParamAnim2,cCamExParamAnim,512,512,0x085da069,0,0,0x0217e19c,0x0217e17c,0x01ae28a8
112,cCamExParamAnimTar,(root),608,608,0x6c5e863f,0,0,0x0217e1bc,0x0217e21c,0x01ae28a8
113,cCamExParamLockCore<cCamExParamAnim>,cCamExParamAnim,608,608,0x53fc15a3,3,0,0x0217e21c,0x0217e17c,0x01ae28a8
114,cCamImpAnim,(root),8112,8112,0x52c3fa9c,0,0,0x0217e1dc,0x021c1c3c,0x01ae28a8
115,cCamImpAnimTar,cCamImpAnim,8224,8224,0x316f1761,0,0,0x0217e1fc,0x0217e1dc,0x01ae28a8
116,cCamExParamLock,(root),592,592,0x50b9bb2a,0,0,0x0217e24c,0x021c1c9c,0x01ae28a8
117,cCamImpLock,(root),320,320,0x32e705c9,0,0,0x0217e26c,0x021c1c3c,0x01ae28a8
118,cCamExParamMot,(root),496,496,0x5bbc327e,0,0,0x0217e294,0x021c1c9c,0x01ae28a8
119,cCamExParamMotTar,(root),592,592,0x5890224d,0,0,0x0217e2b4,0x0217e314,0x01ae28a8
120,cCamExParamLockCore<cCamExParamMot>,cCamExParamMot,592,592,0x6cfbe184,3,0,0x0217e314,0x0217e294,0x01ae28a8
121,cCamImpMot,(root),592,592,0x581f0e22,0,0,0x0217e2d4,0x021c1c3c,0x01ae28a8
122,cCamImpMotTar,cCamImpMot,704,704,0x011a7eb7,0,0,0x0217e2f4,0x0217e2d4,0x01ae28a8
123,cCamImpNml,(root),464,464,0x7b034aaf,0,0,0x0217e338,0x021c1c3c,0x01ae28a8
124,cCamExParamNml,(root),592,592,0x78a076f3,0,0,0x0217e358,0x021c1c9c,0x01ae28a8
125,cCamExParamNml2,cCamExParamNml,592,592,0x6c1b5250,0,0,0x0217e378,0x0217e358,0x01ae28a8
126,cCamImpPhoto,(root),304,304,0x43805418,0,0,0x0217e3a8,0x021c1c3c,0x01ae28a8
127,cCamExParamPhoto,(root),480,480,0x7ae1b964,0,0,0x0217e3c8,0x021c1c9c,0x01ae28a8
128,cCamImpTemplate,(root),180,180,0x51a4a656,0,0,0x0217e3ec,0x021c1c3c,0x01ae28a8
129,cCamExParamTemplate,(root),512,512,0x5d2aeb34,0,0,0x0217e40c,0x021c1c9c,0x01ae28a8
130,cCamExParamTps,(root),512,512,0x1b7531bc,0,0,0x0217e430,0x021c1c9c,0x01ae28a8
131,cCamExParamTps2,cCamExParamTps,512,512,0x0a1bdb16,0,0,0x0217e450,0x0217e430,0x01ae28a8
132,cCamImpTps,(root),336,336,0x18d60de0,0,0,0x0217e470,0x021c1c3c,0x01ae28a8
133,cCamInterporate<MtVector3>,(root),64,64,0x65541d22,0,0,0x0217e490,0x021e71e8,0x01ae28a8
134,cCamInterporate<f32>,(root),20,20,0x2f5915a1,0,0,0x0217e590,0x021e71e8,0x01ae28a8
135,cCamInterporateTime<MtVector3>,cCamInterporate<MtVector3>,112,112,0x6c43be6b,0,0,0x0217e5b0,0x0217e490,0x01ae28a8
136,cCamInterporateTime<f32>,cCamInterporate<f32>,44,44,0x70613586,0,0,0x0217e5d0,0x0217e590,0x01ae28a8
137,cCamInterporateVec3,cCamInterporate<MtVector3>,64,64,0x486f296b,0,0,0x0217e4b0,0x0217e490,0x01ae28a8
138,cCamInterporateAng3Time,cCamInterporateTime<MtVector3>,112,112,0x2d6bf63e,0,0,0x0217e4d0,0x0217e5b0,0x01ae28a8
139,cCamInterporateRange,cCamInterporate<MtVector3>,64,64,0x4b9d78ba,0,0,0x0217e4f0,0x0217e490,0x01ae28a8
140,cCamInterporateRangeF32,cCamInterporate<f32>,20,20,0x693aa248,0,0,0x0217e510,0x0217e590,0x01ae28a8
141,cCamInterporateAng,cCamInterporate<f32>,20,20,0x45884326,0,0,0x0217e530,0x0217e590,0x01ae28a8
142,cCamInterporateRangeAng,cCamInterporateAng,20,20,0x786132af,0,0,0x0217e550,0x0217e530,0x01ae28a8
143,cCamInterAll,(root),304,304,0x165d2e97,0,0,0x0217e570,0x021e71e8,0x01ae28a8
144,cCharacterData,(root),13680,13680,0x69f2bf84,0,0,0x0217e600,0x021e71e8,0x01ae28a8
145,cCharacterEditPaletteBase,(root),16,16,0x69ea8c7c,1,0,0x0217e620,0x021e71e8,0x01ae28a8
146,cCharParam,(root),8,8,0x0a86e33d,0,0,0x0217e640,0x021e71e8,0x01ae28a8
147,cCharParamEnemy::cJumpAttackSpeed,(root),20,20,0x24d28f65,0,0,0x0217e664,0x021e71e8,0x01ae28a8
148,cCharParamEnemy::cGuardCounter,(root),8,8,0x00b3aca4,0,0,0x0217e684,0x021e71e8,0x01ae28a8
149,cCharParamEnemy,cCharParam,388,388,0x7e509fe9,0,0,0x0217e6a4,0x0217e640,0x01ae28a8
150,cCharParamEnemyFly,cCharParamEnemy,424,424,0x2f073031,0,0,0x0217e6c8,0x0217e6a4,0x01ae28a8
151,cChildRegionStatus,(root),352,352,0x201d6741,0,0,0x0217e6e8,0x021e71e8,0x01ae28a8
152,cComponentManager,(root),12,12,0x7d58c23c,0,0,0x0217e708,0x021e71e8,0x01ae28a8
153,cConstModelParam,(root),32,32,0x52a66748,0,0,0x0217e728,0x021e71e8,0x01ae28a8
154,cContext,(root),16,16,0x7435e452,1,0,0x0217e750,0x021e71e8,0x01ae28a8
155,cContextCharacter,cContext,2736,2736,0x50000000,0,0,0x0217e770,0x0217e750,0x01ae28a8
156,cContextInstance,cContext,120,120,0x50050000,0,0,0x0217e7a4,0x0217e750,0x01ae28a8
157,cContextInstChar,cContextInstance,3120,3120,0x50060000,0,0,0x0217e7c4,0x0217e7a4,0x01ae28a8
158,cContextInstHm,cContextInstChar,14992,14992,0x50070000,0,0,0x0217e7e4,0x0217e7c4,0x01ae28a8
159,cContextInstPl,cContextInstHm,15008,15008,0x50080000,0,0,0x0217e804,0x0217e7e4,0x01ae28a8
160,cContextInstEm,cContextInstChar,3168,3168,0x50090000,0,0,0x0217e824,0x0217e7c4,0x01ae28a8
161,cContextInstNpc,cContextInstHm,14992,14992,0x500a0000,0,0,0x0217e844,0x0217e7e4,0x01ae28a8
162,cContextInstOm,cContextInstance,120,120,0x500b0000,0,0,0x0217e864,0x0217e7a4,0x01ae28a8
163,cContextInstHmEm,cContextInstHm,14992,14992,0x500c0000,0,0,0x0217e884,0x0217e7e4,0x01ae28a8
164,cContextInterface,(root),12,12,0x61dafd99,0,0,0x0217e8ac,0x021e71e8,0x01ae28a8
165,nJobParam::cJobInfo,(root),104,104,0x3ea27615,0,0,0x0217f920,0x021e71e8,0x01ae28a8
166,nJobParam::cHumanBaseInfo,(root),84,84,0x1e8749b1,0,0,0x0217f940,0x021e71e8,0x01ae28a8
167,cContextPlayerInfo::cAbility,(root),16,16,0x5b8952eb,0,0,0x0217f960,0x021e71e8,0x01ae28a8
168,cContextPlayerInfo,cContext,5944,5944,0x50040000,0,0,0x0217f980,0x0217e750,0x01ae28a8
169,rJobBaseParam,(root),112,112,0x2ccce2fb,0,0,0x0217f9a0,0x021acb40,0x01ae28a8
170,cControl,(root),1740,1740,0x7bb34d67,1,0,0x0217f9d0,0x021e71e8,0x01ae28a8
171,cControl::cMouseExecution,(root),36,36,0x4a004c02,1,0,0x0217f9f0,0x021e71e8,0x01ae28a8
172,cControl::cMouseExecution::cMouseTouchInfo,(root),56,56,0x5507e41b,1,0,0x0217fa10,0x021e71e8,0x01ae28a8
173,cVerticalList,cControl,1756,1756,0x41aa2e66,1,0,0x0217fa30,0x0217f9d0,0x01ae28a8
174,cHorizontalList,cControl,1756,1756,0x26c751e4,1,0,0x0217fa50,0x0217f9d0,0x01ae28a8
175,cMatrix,cControl,1780,1780,0x169093a3,1,0,0x0217fa70,0x0217f9d0,0x01ae28a8
176,cCorePointMsg,(root),24,24,0x49d136bf,0,0,0x0217fa90,0x021e71e8,0x01ae28a8
177,cCraftPlusItem,(root),8,8,0x14e2e7d4,0,0,0x0217fab0,0x021e71e8,0x01ae28a8
178,cCraftRecipe::cCraftRecipeList,(root),52,52,0x5e00a104,0,0,0x0217fad4,0x021e71e8,0x01ae28a8
179,cCraftRecipe,(root),188,188,0x4fad7062,0,0,0x0217faf4,0x021e71e8,0x01ae28a8
180,cCraftSkill,(root),16,16,0x4bdc4399,0,0,0x0217fb14,0x021e71e8,0x01ae28a8
181,cCursor,(root),28,28,0x2bdcb8e2,0,0,0x0217fb34,0x021e71e8,0x01ae28a8
182,cCycle01QuestManager,(root),164,164,0x478a62f5,0,0,0x0217fb68,0x0217fc38,0x01ae28a8
183,cCycle04QuestManager,(root),208,208,0x5aa5d1e6,0,0,0x0217fb9c,0x0217fc38,0x01ae28a8
184,cCycle04QuestManager::cClearTimeBonus,(root),12,12,0x39e15343,0,0,0x0217fbbc,0x021e71e8,0x01ae28a8
185,cCycle04QuestManager::cRegionBreakReward,(root),8,8,0x1d764fae,0,0,0x0217fbdc,0x021e71e8,0x01ae28a8
186,cCycleQuestManagerBase::cDieEmInfo,(root),12,12,0x764682c0,0,0,0x0217fc18,0x021e71e8,0x01ae28a8
187,cCycleQuestManagerBase,(root),156,156,0x245a5b44,1,0,0x0217fc38,0x02195458,0x01ae28a8
188,cCycleQuestSubCategoryManager,(root),112,112,0x4b033a79,0,0,0x0217fc68,0x02195458,0x01ae28a8
189,cCycleQuestSubCategoryManager::cCycleContentsTaskInfo,(root),12,12,0x555d60ff,0,0,0x0217fc88,0x021e71e8,0x01ae28a8
190,cDamageMsg,(root),144,144,0x183f473f,0,0,0x0217fcb0,0x021e71e8,0x01ae28a8
191,cDDMaterialCtrl,(root),3904,3904,0x64eb968a,0,0,0x0217fcf8,0x021e71e8,0x01ae28a8
192,cDDMaterialCtrl::cShaderData,(root),20,20,0x6e4f3952,0,0,0x0217fd18,0x021e71e8,0x01ae28a8
193,cDDMaterialCtrl::cShaderDataStatusAilments,cDDMaterialCtrl::cShaderData,56,56,0x5d3bcaae,0,0,0x0217fd38,0x0217fd18,0x01ae28a8
194,cDDMaterialCtrl::cShaderDataFire,cDDMaterialCtrl::cShaderDataStatusAilments,64,64,0x2345fc6e,0,0,0x0217fd58,0x0217fd38,0x01ae28a8
195,cDDMaterialCtrl::cShaderDataFreeze,cDDMaterialCtrl::cShaderDataStatusAilments,56,56,0x7d839645,0,0,0x0217fd78,0x0217fd38,0x01ae28a8
196,cDDMaterialCtrl::cShaderDataGeneral,cDDMaterialCtrl::cShaderDataFreeze,60,60,0x67c487c0,0,0,0x0217fd98,0x0217fd78,0x01ae28a8
197,cDDMaterialCtrl::cShaderDataWetOil,cDDMaterialCtrl::cShaderDataStatusAilments,68,68,0x22850613,0,0,0x0217fdb8,0x0217fd38,0x01ae28a8
198,cDDMaterialCtrl::cShaderDataStone,cDDMaterialCtrl::cShaderDataStatusAilments,64,64,0x6a08e22c,0,0,0x0217fdd8,0x0217fd38,0x01ae28a8
199,cDDMaterialCtrl::cShaderDataGold,cDDMaterialCtrl::cShaderDataStone,72,72,0x3c32e8f0,0,0,0x0217fdf8,0x0217fdd8,0x01ae28a8
200,cDDMaterialCtrl::cShaderDataErosion,cDDMaterialCtrl::cShaderDataStatusAilments,104,104,0x4664850a,0,0,0x0217fe18,0x0217fd38,0x01ae28a8
201,cDDMaterialCtrl::cShaderDataDamage,cDDMaterialCtrl::cShaderData,40,40,0x2ada3633,0,0,0x0217fe38,0x0217fd18,0x01ae28a8
202,cDDMaterialCtrl::cShaderDataDamageDrawOn,cDDMaterialCtrl::cShaderDataDamage,40,40,0x48a8a81d,0,0,0x0217fe58,0x0217fe38,0x01ae28a8
203,cDDMaterialCtrl::cShaderDataDead,cDDMaterialCtrl::cShaderDataDamage,48,48,0x16bebc85,0,0,0x0217fe78,0x0217fe38,0x01ae28a8
204,cDDMaterialCtrl::cShaderDataBloodStain,cDDMaterialCtrl::cShaderDataDamage,44,44,0x17d7f4fb,0,0,0x0217fe98,0x0217fe38,0x01ae28a8
205,cDDMaterialCtrl::cShaderDataHakuryuStone,cDDMaterialCtrl::cShaderDataBloodStain,64,64,0x788d04e1,0,0,0x0217feb8,0x0217fe98,0x01ae28a8
206,cDDMaterialCtrl::cShaderDataFireDamage,cDDMaterialCtrl::cShaderDataDamage,40,40,0x6f6868b9,0,0,0x0217fed8,0x0217fe38,0x01ae28a8
207,cDDMaterialCtrl::cShaderDataEmission,cDDMaterialCtrl::cShaderData,112,112,0x2f6434f6,0,0,0x0217fef8,0x0217fd18,0x01ae28a8
208,cDDMaterialCtrl::cShaderDataEmissionEye,cDDMaterialCtrl::cShaderDataEmission,112,112,0x75c841b8,0,0,0x0217ff18,0x0217fef8,0x01ae28a8
209,cDDMaterialCtrl::cShaderDataOutline,cDDMaterialCtrl::cShaderData,80,80,0x6e92e36f,0,0,0x0217ff38,0x0217fd18,0x01ae28a8
210,cDDMaterialCtrl::cShaderDataOutlineOn,cDDMaterialCtrl::cShaderData,80,80,0x068db5ad,0,0,0x0217ff58,0x0217fd18,0x01ae28a8
211,cDDMaterialCtrl::cShaderDataMaterial,cDDMaterialCtrl::cShaderData,24,24,0x23f81d97,0,0,0x0217ff78,0x0217fd18,0x01ae28a8
212,cDDMaterialCtrl::cShaderDataMaterialToDefaultColor,cDDMaterialCtrl::cShaderDataMaterial,60,60,0x12ba81c3,0,0,0x0217ff98,0x0217ff78,0x01ae28a8
213,cDDMaterialCtrl::cShaderDataMaterialColor,cDDMaterialCtrl::cShaderDataMaterial,80,80,0x1e1d29f0,0,0,0x0217ffb8,0x0217ff78,0x01ae28a8
214,cDDMaterialCtrl::cShaderDataMaterialDead,cDDMaterialCtrl::cShaderDataMaterial,48,48,0x4b8049df,0,0,0x0217ffd8,0x0217ff78,0x01ae28a8
215,cDDMaterialCtrl::cShaderDataMaterialEnchant,cDDMaterialCtrl::cShaderDataMaterial,112,112,0x5373401e,0,0,0x0217fff8,0x0217ff78,0x01ae28a8
216,cDDMaterialCtrl::cShaderDataMaterialEnchantFire,cDDMaterialCtrl::cShaderDataMaterialEnchant,112,112,0x6f84fefa,0,0,0x02180018,0x0217fff8,0x01ae28a8
217,cDDMaterialCtrl::cShaderDataMaterialEnchantIce,cDDMaterialCtrl::cShaderDataMaterialEnchant,112,112,0x238efa56,0,0,0x02180038,0x0217fff8,0x01ae28a8
218,cDDMaterialCtrl::cShaderDataMaterialEnchantThunder,cDDMaterialCtrl::cShaderDataMaterialEnchant,112,112,0x6fda94be,0,0,0x02180058,0x0217fff8,0x01ae28a8
