*Accessories Item list
|Name|Rank|P-Def|M-Def|Level|ID|h
||CENTER:|CENTER:|CENTER:||c
|[Sacred Gem Choker[聖石のチョーカー]]|6|0|0|全ジョブ(Lv26～)|8964
|[Darkness Gem Choker[闇石のチョーカー]]|6|0|0|全ジョブ(Lv26～)|8965
|[Knight's Ring[騎士のリング]]|6|0|0|全ジョブ(Lv26～)|8969
|[Conjurer's Ring[呪い師のリング]]|6|0|0|全ジョブ(Lv26～)|8970
|[Endurance Ring[忍耐の指輪]]|6|0|0|全ジョブ(Lv26～)|8971
|[Vital Wristband[バイタルリストバンド]]|6|0|0|全ジョブ(Lv26～)|8974
|[Sapphire Pendant[サファイアのペンダント]]|6|0|2|全ジョブ(Lv26～)|8976
|[Misty Feather Earrings[ミスティフェザーピアス]]|6|0|0|全ジョブ(Lv26～)|9013
|[Bull Insignia Ring[牛印のリング]]|7|0|0|全ジョブ(Lv31～)|8960
|[Cameo Wrist Ring[カメオリストリング]]|7|0|0|全ジョブ(Lv31～)|8967
|[Battler Bracelet[バトラーブレス]]|7|0|0|全ジョブ(Lv31～)|8972
|[Blue Leaf Ring[蒼葉の指輪]]|7|0|0|全ジョブ(Lv31～)|8981
|[High Leather Bracelet[ハイレザーブレスレット]]|7|0|0|全ジョブ(Lv31～)|8982
|[Solid Fang Earrings[ソリッドファングピアス]]|7|0|0|全ジョブ(Lv31～)|8983
|[Twin Gem Earrings[ツインジェムピアス]]|7|0|0|全ジョブ(Lv31～)|8984
|[Shell Beads Earrings[シェルビーズピアス]]|7|0|0|全ジョブ(Lv31～)|8986
|[Magickal Gemstone Beads[魔石のビーズ]]|7|0|0|全ジョブ(Lv31～)|8987
|[Element Beads[エレメントビーズ]]|7|0|0|全ジョブ(Lv31～)|8988
|[Carved Wood Insignia Ring[木印のリング]]|7|0|0|全ジョブ(Lv31～)|8989
|[Sentinel's Ring[衛兵のリング]]|7|3|0|全ジョブ(Lv31～)|8991
|[Scholar's Ring[博者のリング]]|7|0|3|全ジョブ(Lv31～)|8992
|[Water-Resistant Earrings[撥水のイヤリング]]|7|0|0|全ジョブ(Lv31～)|8993
|[Oil-Resistant Earrings[油切りのイヤリング]]|7|0|0|全ジョブ(Lv31～)|8994
|[Poison-Protection Earrings[毒除けのイヤリング]]|7|0|0|全ジョブ(Lv31～)|8995
|[Sleepless Earrings[不眠のイヤリング]]|7|0|0|全ジョブ(Lv31～)|8996
|[Ruby Pendant[ルビーのペンダント]]|8|0|0|全ジョブ(Lv36～)|8975
|[Topaz Pendant[トパーズのペンダント]]|8|0|0|全ジョブ(Lv36～)|8977
|[Wolf Insignia Ring[狼印のリング]]|8|2|2|全ジョブ(Lv36～)|8990
|[Champion's Ring[勇士のリング]]|8|0|0|全ジョブ(Lv36～)|8997
|[Mentor's Ring[導師のリング]]|8|0|0|全ジョブ(Lv36～)|8998
|[Life Ring[命の指輪]]|8|0|0|全ジョブ(Lv36～)|8999
|[Fireproof Earrings[不燃のイヤリング]]|8|0|0|全ジョブ(Lv36～)|9000
|[Icebreaker's Earrings[氷砕のイヤリング]]|8|0|0|全ジョブ(Lv36～)|9001
|[Lightning Protector's Earrings[避雷のイヤリング]]|8|0|0|全ジョブ(Lv36～)|9002
|[Holy Guard Earrings[聖防のイヤリング]]|8|0|0|全ジョブ(Lv36～)|9003
|[Darkness Defense Earrings[闇払のイヤリング]]|8|0|0|全ジョブ(Lv36～)|9004
|[Wanderer's Wrist Ring[ワンダラーリストリング]]|8|0|0|全ジョブ(Lv36～)|9007
|[Royal Feather Earrings[ロイヤルフェザーピアス]]|9|0|0|全ジョブ(Lv41～)|8985
|[High Vitality Ring[華精の指輪]]|9|0|0|全ジョブ(Lv41～)|9009
|[Beast Leather Bracelet[魔獣革のブレスレット]]|9|0|0|全ジョブ(Lv41～)|9010
|[Magickal Gemstone Chain[魔石のチェーン]]|9|0|0|全ジョブ(Lv41～)|9015
|[Element Chain[エレメントチェーン]]|9|0|0|全ジョブ(Lv41～)|9016
|[Tree Insignia Ring[樹印のリング]]|9|0|0|全ジョブ(Lv41～)|9017
|[Fortification Ring[砦守のリング]]|9|4|0|全ジョブ(Lv41～)|9019
|[Sage's Ring[賢者のリング]]|9|0|4|全ジョブ(Lv41～)|9020
|[Spirit Focus Earrings[気発のイヤリング]]|9|0|0|全ジョブ(Lv41～)|9021
|[Quickness Earrings[敏速のイヤリング]]|9|0|0|全ジョブ(Lv41～)|9022
|[Key Insignia Earrings[解印のイヤリング]]|9|0|0|全ジョブ(Lv41～)|9023
|[Champion Breastplate[チャンピオンブレス]]|10|0|0|全ジョブ(Lv46～)|8638
|[Spiritual Bracelet[スピリチュアルブレス]]|10|0|0|全ジョブ(Lv46～)|9006
|[Ivory Fang Earrings[アイボリーファングピアス]]|10|0|0|全ジョブ(Lv46～)|9011
|[Rhinestone Earrings[ラインストーンピアス]]|10|0|0|全ジョブ(Lv46～)|9012
|[Pure White Shell Earrings[雪白貝のピアス]]|10|0|0|全ジョブ(Lv46～)|9014
|[War Commander's Ring[戦将のリング]]|10|0|0|全ジョブ(Lv46～)|9032
|[Demon Emperor's Ring[魔皇のリング]]|10|0|0|全ジョブ(Lv46～)|9033
|[Steadfastness Ring[不動の指輪]]|10|0|0|全ジョブ(Lv46～)|9034
|[Rockbreaker's Earrings[石割のイヤリング]]|10|0|0|全ジョブ(Lv46～)|9035
|[Unsoftening Earrings[不軟のイヤリング]]|10|0|0|全ジョブ(Lv46～)|9037
|[Curse-Deflecting Earrings[返呪のイヤリング]]|10|0|0|全ジョブ(Lv46～)|9038
|[Mother Goddess' Ring[母神の指輪]]|10|0|0|全ジョブ(Lv46～)|9043
|[Lion Insignia Ring[獅子印のリング]]|11|0|0|全ジョブ(Lv51～)|9018
|[Sacred Tree Ring[聖樹の指輪]]|11|0|0|全ジョブ(Lv51～)|9024
|[Magickal Stone Pendulum[魔石のペンデュラム]]|11|0|0|全ジョブ(Lv51～)|9030
|[Element Pendulum[エレメントペンデュラム]]|11|0|0|全ジョブ(Lv51～)|9031
|[Castellan's Ring[城主のリング]]|11|5|0|全ジョブ(Lv51～)|9041
|[Wise Lord's Ring[賢帝のリング]]|11|0|5|全ジョブ(Lv51～)|9042
|[Cofferer's Earrings[司金のイヤリング]]|11|0|0|全ジョブ(Lv51～)|9045
|[True Dragon Leather Bracelet[真竜革のブレスレット]]|12|0|0|全ジョブ(Lv56～)|9025
|[Dragon Fang Earrings[ドラゴンファングピアス]]|12|0|0|全ジョブ(Lv56～)|9026
|[Magickal Gemstone Earrings[魔宝石のピアス]]|12|0|0|全ジョブ(Lv56～)|9027
|[Ceres Feather Earrings[セレスフェザーピアス]]|12|0|0|全ジョブ(Lv56～)|9028
|[Pearl Earrings[パールピアス]]|12|0|0|全ジョブ(Lv56～)|9029
|[Heavenly Tree Insignia Ring[神樹印のリング]]|12|0|0|全ジョブ(Lv56～)|9039
|[Dragon Insignia Ring[竜印のリング]]|12|0|0|全ジョブ(Lv56～)|9040
|[Earth Ring[大地の指輪]]|12|0|0|全ジョブ(Lv56～)|9044
|[Titan Bracelet[タイタンブレス]]|12|0|0|全ジョブ(Lv56～)|9046
|[Mephisto Bracelet[メフィストブレス]]|12|0|0|全ジョブ(Lv56～)|9047
|[Yggdrasil Bracelet[ユグドラブレス]]|12|0|0|全ジョブ(Lv56～)|9048
|[Ancient Clear Shell Ring[老甲晶のリング]]|75|0|0|全ジョブ(Lv80～)|17154
|[Star Ruby Ring[スタールビーリング]]|15|0|0|全ジョブ(Lv60～)|13793
|[Valkyrie Ring[ヴァルキリーリング]]|15|0|0|全ジョブ(Lv60～)|13794
|[Depth Opal Ring[デプスオパールリング]]|90|0|0|全ジョブ(Lv1～)|18736
|[Ring of Evil Eye[邪眼の指輪]]|100|0|0|全ジョブ(Lv1～)|21210
|[Ring of the Flame Demon[炎魔の指輪]]|110|0|0|全ジョブ(Lv1～)|21394
|[Brilliant Gem Bracelet[ブリリアントジェムブレス]]|15|0|0|全ジョブ(Lv60～)|13795
|[Shining Bangle[シャイニングバングル]]|15|0|0|全ジョブ(Lv60～)|13796
|[Saint's Bracelet[聖者の腕輪]]|15|0|0|全ジョブ(Lv60～)|13799
|[Bitterblack Bracelet[黒呪の腕輪]]|50|0|0|全ジョブ(Lv1～)|21651
|[Phindym Bracelet[フィンダムブレスレット]]|75|0|0|全ジョブ(Lv1～)|16201
|[Heliodor Earrings[ヘリオドールピアス]]|15|6|0|全ジョブ(Lv60～)|13797
|[Oracle's Earrings[オラクルズピアス]]|15|0|6|全ジョブ(Lv60～)|13798
|[Blessing Earrings[ブレッシングピアス]]|15|0|0|全ジョブ(Lv60～)|14022
|[Fire Crystal Dragon Necklace[炎竜晶のネックレス]]|1|0|0|全ジョブ(Lv1～)|10523
|[Ice Crystal Dragon Necklace[氷竜晶のネックレス]]|1|0|4|全ジョブ(Lv1～)|10524
|[Thunder Crystal Dragon Necklace[雷竜晶のネックレス]]|1|4|0|全ジョブ(Lv1～)|10525
|[Dark Crystal Dragon Necklace[冥竜晶のネックレス]]|1|0|0|全ジョブ(Lv1～)|10526
|[Holy Crystal Dragon Necklace[聖竜晶のネックレス]]|1|0|0|全ジョブ(Lv1～)|10527
|[Abundant Augite Earrings[豊輝石のピアス]]|12|0|0|全ジョブ(Lv1～)|12783
|[Will Augite Earrings[志輝石のピアス]]|12|5|0|全ジョブ(Lv1～)|12780
|[Colorful Augite Earrings[彩輝石のピアス]]|12|0|5|全ジョブ(Lv1～)|12782
|[Health Augite Earrings[健輝石のピアス]]|12|4|0|全ジョブ(Lv1～)|12781
|[Blossom Augite Choker[花輝石のチョーカー]]|12|0|0|全ジョブ(Lv1～)|12778
|[Intelligent Augite Choker[慧輝石のチョーカー]]|12|0|0|全ジョブ(Lv1～)|12779
|[Blast Augite Choker[破輝石のチョーカー]]|12|0|0|全ジョブ(Lv1～)|12776
|[Breeze Augite Choker[風輝石のチョーカー]]|12|0|0|全ジョブ(Lv1～)|12777
|[Battlefield Aquamarine Ring[戦場のアクアマリンリング]]|70|0|0|全ジョブ(Lv1～)|19351
|[Battlefield Amethyst Ring[戦場のアメジストリング]]|70|0|0|全ジョブ(Lv1～)|19352
|[Battlefield Peridot Ring[戦場のペリドットリング]]|70|0|0|全ジョブ(Lv1～)|19353
|[Battlefield Emerald Ring[戦場のエメラルドリング]]|70|0|0|全ジョブ(Lv1～)|19355
|[Battlefield Morion Ring[戦場のモリオンリング]]|70|0|0|全ジョブ(Lv1～)|19354
|[Battlefield Citrine Ring[戦場のシトリンリング]]|70|0|0|全ジョブ(Lv1～)|19356
|[Bracelet of Seizing[握速の腕輪]]|9|0|0|全ジョブ(Lv1～)|11050
|[Bracelet of Soaring[飛翔の腕輪]]|9|0|0|全ジョブ(Lv1～)|11049
|[Bracelet of Dashing[快走の腕輪]]||0|0|全ジョブ(Lv1～)|11048
|[Bracelet of Unburdening[楽装の腕輪]]||0|0|全ジョブ(Lv1～)|11652
|[Rookie's Ring of Blessing[祝福のルーキーズリング]]|12|0|0|全ジョブ(Lv1～)|11718
|[Supreme Ring (Myrmidon)[至高のリング【戦徒】]]|50|0|0|全ジョブ(Lv1～)|18599
|[Supreme Bracelet (Myrmidon)[至高の腕輪【戦徒】]]|50|0|0|全ジョブ(Lv1～)|18600
|[Supreme Earrings (Myrmidon)[至高のピアス【戦徒】]]|50|0|0|全ジョブ(Lv1～)|18601
|[Supreme Ring (Inquiry)[至高のリング【探究】]]|50|0|0|全ジョブ(Lv1～)|18602
|[Supreme Bracelet (Inquiry)[至高の腕輪【探究】]]|50|0|0|全ジョブ(Lv1～)|18603
|[Supreme Earrings (Inquiry)[至高のピアス【探究】]]|50|0|0|全ジョブ(Lv1～)|18604
|[Supreme Ring (Purge)[至高のリング【侵滅】]]|50|0|0|全ジョブ(Lv1～)|18605
|[Supreme Bracelet (Purge)[至高の腕輪【侵滅】]]|50|0|0|全ジョブ(Lv1～)|18606
|[Supreme Earrings (Purge)[至高のピアス【侵滅】]]|50|0|0|全ジョブ(Lv1～)|18607
|[Supreme Ring (Night Emperor)[至高のリング【夜帝】]]|50|0|0|全ジョブ(Lv1～)|18608
|[Supreme Bracelet (Night Emperor)[至高の腕輪【夜帝】]]|50|0|0|全ジョブ(Lv1～)|18609
|[Supreme Earrings (Night Emperor)[至高のピアス【夜帝】]]|50|0|0|全ジョブ(Lv1～)|18610
|[Bracelet of Seizing - Extreme[握速の腕輪・極【ファイター】]]|80|0|0|[[ファイター]]Lv1～|21299
|[Bracelet of Seizing - Extreme (Shield Sage)[握速の腕輪・極【Sセージ】]]|80|0|0|[[シールドセージ]]Lv1～|21300
|[Bracelet of Seizing - Extreme (Hunter)[握速の腕輪・極【ハンター】]]|80|0|0|[[ハンター]]Lv1～|21301
|[Bracelet of Seizing - Extreme (Priest)[握速の腕輪・極【プリースト】]]|80|0|0|[[プリースト]]Lv1～|21302
|[Bracelet of Seizing - Extreme (Sorcerer)[握速の腕輪・極【ソーサラー】]]|80|0|0|[[ソーサラー]]Lv1～|21303
|[Bracelet of Seizing - Extreme (Seeker)[握速の腕輪・極【シーカー】]]|80|0|0|[[シーカー]]Lv1～|21304
|[Bracelet of Seizing - Extreme (Element Archer)[握速の腕輪・極【Eアーチャー】]]|80|0|0|[[エレメントアーチャー]]Lv1～|21305
|[Bracelet of Seizing - Extreme (Warrior)[握速の腕輪・極【ウォリアー】]]|80|0|0|[[ウォリアー]]Lv1～|21306
|[Bracelet of Seizing - Extreme (Alchemist)[握速の腕輪・極【アルケミスト】]]|80|0|0|[[アルケミスト]]Lv1～|21307
|[Bracelet of Seizing - Extreme (Spirit Lancer)[握速の腕輪・極【Sランサー】]]|80|0|0|[[スピリットランサー]]Lv1～|21308
|[Earrings of Soaring - Extreme (Fighter)[飛翔のピアス・極【ファイター】]]|80|0|0|[[ファイター]]Lv1～|21309
|[Earrings of Soaring - Extreme (Shield Sage)[飛翔のピアス・極【Sセージ】]]|80|0|0|[[シールドセージ]]Lv1～|21310
|[Earrings of Soaring - Extreme (Hunter)[飛翔のピアス・極【ハンター】]]|80|0|0|[[ハンター]]Lv1～|21311
|[Earrings of Soaring - Extreme (Priest)[飛翔のピアス・極【プリースト】]]|80|0|0|[[プリースト]]Lv1～|21312
|[Earrings of Soaring - Extreme (Sorcerer)[飛翔のピアス・極【ソーサラー】]]|80|0|0|[[ソーサラー]]Lv1～|21313
|[Earrings of Soaring - Extreme (Seeker)[飛翔のピアス・極【シーカー】]]|80|0|0|[[シーカー]]Lv1～|21314
|[Earrings of Soaring - Extreme (Element Archer)[飛翔のピアス・極【Eアーチャー】]]|80|0|0|[[エレメントアーチャー]]Lv1～|21315
|[Earrings of Soaring - Extreme (Warrior)[飛翔のピアス・極【ウォリアー】]]|80|0|0|[[ウォリアー]]Lv1～|21316
|[Earrings of Soaring - Extreme (Alchemist)[飛翔のピアス・極【アルケミスト】]]|80|0|0|[[アルケミスト]]Lv1～|21317
|[Earrings of Soaring - Extreme (Spirit Lancer)[飛翔のピアス・極【Sランサー】]]|80|0|0|[[スピリットランサー]]Lv1～|21318
|[Ring of Physical Attack 1[物攻のリング1]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|11758
|[Ring of Physical Attack 2[物攻のリング2]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14193
|[Ring of Physical Attack 3[物攻のリング3]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14194
|[Ring of Physical Attack 4[物攻のリング4]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14195
|[Ring of Magick Attack 1[魔攻のリング1]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14196
|[Ring of Magick Attack 2[魔攻のリング2]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14197
|[Ring of Magick Attack 3[魔攻のリング3]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14198
|[Ring of Magick Attack 4[魔攻のリング4]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14199
|[Bracelet of Health 1[体力のブレスレット1]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14200
|[Bracelet of Health 2[体力のブレスレット2]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14201
|[Bracelet of Health 3[体力のブレスレット3]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14202
|[Bracelet of Health 4[体力のブレスレット4]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14203
|[Bracelet of Stamina 1[持久力のブレスレット1]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14204
|[Bracelet of Stamina 2[持久力のブレスレット2]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14205
|[Bracelet of Stamina 3[持久力のブレスレット3]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14206
|[Bracelet of Stamina 4[持久力のブレスレット4]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14207
|[Bracelet of Endurance 1[耐久のブレスレット1]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14208
|[Bracelet of Endurance 2[耐久のブレスレット2]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14209
|[Bracelet of Endurance 3[耐久のブレスレット3]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14210
|[Bracelet of Endurance 4[耐久のブレスレット4]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14211
|[Earrings of Physical Defense 1[物防のピアス1]]|15||0|全ジョブ(Lv1～)|付加アビリティあり|14212
|[Earrings of Physical Defense 2[物防のピアス2]]|15||0|全ジョブ(Lv1～)|付加アビリティあり|14213
|[Earrings of Physical Defense 3[物防のピアス3]]|15||0|全ジョブ(Lv1～)|付加アビリティあり|14214
|[Earrings of Physical Defense 4[物防のピアス4]]|15||0|全ジョブ(Lv1～)|付加アビリティあり|14215
|[Earrings of Magick Defense 1[魔防のピアス1]]|15|0|2|全ジョブ(Lv1～)|付加アビリティあり|14216
|[Earrings of Magick Defense 2[魔防のピアス2]]|15|0|3|全ジョブ(Lv1～)|付加アビリティあり|14217
|[Earrings of Magick Defense 3[魔防のピアス3]]|15|0||全ジョブ(Lv1～)|付加アビリティあり|14218
|[Earrings of Magick Defense 4[魔防のピアス4]]|15|0||全ジョブ(Lv1～)|付加アビリティあり|14219
|[Earrings of Life 1[生命のピアス1]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14220
|[Earrings of Life 2[生命のピアス2]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14221
|[Earrings of Life 3[生命のピアス3]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14222
|[Earrings of Life 4[生命のピアス4]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14223
|[Earrings of Fire Resist 1[炎防のピアス1]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14224
|[Earrings of Fire Resist 2[炎防のピアス2]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14225
|[[炎防のピアス3]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|
|[Earrings of Ice Resist 1[冷防のピアス1]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14226
|[Earrings of Ice Resist 2[冷防のピアス2]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14227
|[[冷防のピアス3]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|
|[Earrings of Thunder Resist 1[雷防のピアス1]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14228
|[Earrings of Thunder Resist 2[雷防のピアス2]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14229
|[[雷防のピアス3]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|
|[Earrings of Holy Resist 1[聖防のピアス1]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14230
|[Earrings of Holy Resist 2[聖防のピアス2]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14231
|[[聖防のピアス3]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|
|[Earrings of Dark Resist 1[闇防のピアス1]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14232
|[Earrings of Dark Resist 2[闇防のピアス2]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|14233
|[[闇防のピアス3]]|15|0|0|全ジョブ(Lv1～)|付加アビリティあり|

*[[ジョブエンブレム]]
-[Emblem Stone (Fighter)[エンブレムストーン・ファイター]]18143
-[Emblem Stone (Hunter)[エンブレムストーン・ハンター]]18145
-[Emblem Stone (Priest)[エンブレムストーン・プリースト]]18146
-[Emblem Stone (Shield Sage)[エンブレムストーン・Sセージ]]18147
-[Emblem Stone (Seeker)[エンブレムストーン・シーカー]]18144
-[Emblem Stone (Sorcerer)[エンブレムストーン・ソーサラー]]18148
-[Emblem Stone (Element Archer)[エンブレムストーン・Eアーチャー]]18150
-[Emblem Stone (Warrior)[エンブレムストーン・ウォリアー]]18149
-[Emblem Stone (Alchemist)[エンブレムストーン・アルケミスト]]18151
-[Emblem Stone (Spirit Lancer)[エンブレムストーン・Sランサー]]18152
-[Emblem Stone (High Scepter)[エンブレムストーン・ハイセプター]]21354
