|Name|Rank|Explination|h
|[Crest of Sheer Intelligence[秀智のクレスト]]|9|装着した防具の魔防が強まるクレスト&br;魔法防御力+4|9293
|[Crest of Wisdom[叡智のクレスト]]|10|装着した防具の魔防が強まるクレスト&br;魔法防御力+5|9294
|[Crest of Intelligence+[智のクレスト・改]]|12|装着した防具の魔防が強まるクレスト&br;魔法防御力+6|11741
|[Crest of Greater Intelligence+[良智のクレスト・改]]|15|装着した防具の魔防が強まるクレスト&br;魔法防御力+7|14187
|[Crest of Wisdom (Lightness)[叡智のクレスト【軽量化】]]|20|装着した防具の性能を強化するクレスト&br;魔法防御力+5&br;重量-10%|16077
|[Crest of Wisdom (Health)[叡智のクレスト【体力】]]|20|装着した防具の性能を強化するクレスト&br;魔法防御力+5&br;最大体力+20|16074
|[Crest of Wisdom (Endurance)[叡智のクレスト【耐久】]]|20|装着した防具の性能を強化するクレスト&br;魔法防御力+5&br;耐久力+8|16075
|[Crest of Wisdom (Vitality)[叡智のクレスト【生命力】]]|20|装着した防具の性能を強化するクレスト&br;魔法防御力+5&br;生命治癒力+3|16076
|[Crest of Unwavering[強固のクレスト]]|20|装着した防具の性能を強化するクレスト&br;物理防御力+5&br;魔法防御力+5|16078
|[Crest of Perseverance[忍耐のクレスト]]|7|装着した防具の耐久力が上昇するクレスト&br;耐久力補正+4|9295
|[Crest of Stubborn Perseverance[頑耐のクレスト]]|11|装着した防具の耐久力が上昇するクレスト&br;耐久力補正+8|9296
|[Crest of Perseverance+[忍耐のクレスト・改]]|12|装着した防具の耐久力が上昇するクレスト&br;耐久力補正+10|11742
|[Crest of Stubborn Perseverance+[頑耐のクレスト・改]]|15|装着した防具の耐久力が上昇するクレスト&br;耐久力+12|13678
|[Crest of Restoration[再起のクレスト]]|7|装着した防具の生命治癒力が増すクレスト&br;生命治癒力補正+1|9297
|[Crest of Fortitude[不屈のクレスト]]|11|装着した防具の生命治癒力が増すクレスト&br;生命治癒力補正+2|9298
|[Crest of Restoration+[再起のクレスト・改]]|12|装着した防具の生命治癒力が増すクレスト&br;生命治癒力補正+5|11743
|[Crest of Fortitude+[不屈のクレスト・改]]|15|装着した防具の生命治癒力が増すクレスト&br;生命治癒力+7|14188
|[Crest of Fire Warding[耐火のクレスト]]|6|装着した防具の炎耐性が上がるクレスト&br;炎耐性+3|9299
|[Crest of Flame Warding[耐炎のクレスト]]|8|装着した防具の炎耐性が上がるクレスト&br;炎耐性+5|9300
|[Crest of Fire Warding+[耐火のクレスト・改]]|12|装着した防具の炎耐性が上がるクレスト&br;炎耐性+12|11744
|[Crest of Flame Warding+[耐炎のクレスト・改]]|15|装着した防具の炎耐性が上がるクレスト&br;炎耐性+14|13679
|[Crest of Cold Warding[耐冷のクレスト]]|6|装着した防具の氷耐性が上がるクレスト&br;氷耐性+3|9302
|[Crest of Ice Warding[耐氷のクレスト]]|8|装着した防具の氷耐性が上がるクレスト&br;氷耐性+5|9303
|[Crest of Cold Warding+[耐冷のクレスト・改]]|12|装着した防具の氷耐性が上がるクレスト&br;氷耐性+12|11745
|[Crest of Ice Warding+[耐氷のクレスト・改]]|15|装着した防具の氷耐性が上がるクレスト&br;氷耐性+14|13680
|[Crest of Electricity Warding[耐電のクレスト]]|6|装着した防具の雷耐性が上がるクレスト&br;雷耐性+3|9305
|[Crest of Lightning Warding[耐雷のクレスト]]|8|装着した防具の雷耐性が上がるクレスト&br;雷耐性+5|9306
|[Crest of Electricity Warding+[耐電のクレスト・改]]|12|装着した防具の雷耐性が上がるクレスト&br;雷耐性+12|11746
|[Crest of Lightning Warding+[耐雷のクレスト・改]]|15|装着した防具の雷耐性が上がるクレスト&br;雷耐性+14|13681
|[Crest of Light Warding[耐光のクレスト]]|6|装着した防具の聖耐性が上がるクレスト&br;聖耐性+3|9308
|[Crest of Holy Warding[耐聖のクレスト]]|8|装着した防具の聖耐性が上がるクレスト&br;聖耐性+5|9309
|[Crest of Light Warding+[耐光のクレスト・改]]|12|装着した防具の聖耐性が上がるクレスト&br;聖耐性+12|11747
|[Crest of Holy Warding+[耐聖のクレスト・改]]|15|装着した防具の聖耐性が上がるクレスト&br;聖耐性+14|13682
|[Crest of Gloom Warding[耐暗のクレスト]]|6|装着した防具の闇耐性が上がるクレスト&br;闇耐性+3|9311
|[Crest of Dark Warding[耐闇のクレスト]]|8|装着した防具の闇耐性が上がるクレスト&br;闇耐性+5|9312
|[Crest of Gloom Warding+[耐暗のクレスト・改]]|12|装着した防具の闇耐性が上がるクレスト&br;闇耐性+12|11748
|[Crest of Dark Warding+[耐闇のクレスト・改]]|15|装着した防具の闇耐性が上がるクレスト&br;闇耐性+14|13683
|[Crest of Burn Warding[防延焼のクレスト]]|7|装着した防具の属性異常耐性が増すクレスト&br;延焼耐性+4|9314
|[Crest of Burn Prevention[強防延焼のクレスト]]|9|装着した防具の属性異常耐性が増すクレスト&br;延焼耐性+5|9315
|[Crest of Burn Immunity[超防延焼のクレスト]]|11|装着した防具の属性異常耐性が増すクレスト&br;延焼耐性+6|9316
|[Crest of Burn Warding+[防延焼のクレスト・改]]|15|装着した防具の属性異常耐性が増すクレスト&br;延焼耐性+20|13684
|[Crest of Fire Barrier[遮炎のクレスト]]|20|装着した防具の性能を強化するクレスト&br;延焼耐性+15&br;炎防低下耐性+15|16080
|[Crest of Freeze Warding[防凍結のクレスト]]|7|装着した防具の属性異常耐性が増すクレスト&br;凍結耐性+4|9317
|[Crest of Freeze Prevention[強防凍結のクレスト]]|9|装着した防具の属性異常耐性が増すクレスト&br;凍結耐性+5|
|[Crest of Freeze Immunity[超防凍結のクレスト]]|11|装着した防具の属性異常耐性が増すクレスト&br;凍結耐性+6|9319
|[Crest of Freeze Warding+[防凍結のクレスト・改]]|15|装着した防具の属性異常耐性が増すクレスト&br;凍結耐性+20|13685
|[Crest of Ice Barrier[遮氷のクレスト]]|20|装着した防具の性能を強化するクレスト&br;凍結耐性+15&br;氷防低下耐性+15|16081
|[Crest of Shock Warding[防感電のクレスト]]|7|装着した防具の属性異常耐性が増すクレスト&br;感電耐性+4|9320
|[Crest of Shock Prevention[強防感電のクレスト]]|9|装着した防具の属性異常耐性が増すクレスト&br;感電耐性+5|9321
|[Crest of Shock Immunity[超防感電のクレスト]]|11|装着した防具の属性異常耐性が増すクレスト&br;感電耐性+6|9322
|[Crest of Shock Warding+[防感電のクレスト・改]]|15|装着した防具の属性異常耐性が増すクレスト&br;感電耐性+17|13686
|[Crest of Lightning Barrier[遮雷のクレスト]]|20|装着した防具の性能を強化するクレスト&br;感電耐性+15&br;雷防低下耐性+15|16082
|[Crest of Holy Drain Warding[防聖吸のクレスト]]|7|装着した防具の属性異常耐性が増すクレスト&br;聖吸耐性+4|9323
|[Crest of Holy Drain Prevention[強防聖吸のクレスト]]|9|装着した防具の属性異常耐性が増すクレスト&br;聖吸耐性+5|9324
|[Crest of Holy Drain Immunity[超防聖吸のクレスト]]|11|装着した防具の属性異常耐性が増すクレスト&br;聖吸耐性+6|9325
|[Crest of Holy Drain Warding+[防聖吸のクレスト・改]]|15|装着した防具の属性異常耐性が増すクレスト&br;聖吸耐性+25|13687
|[Crest of Holy Barrier[遮聖のクレスト]]|20|装着した防具の性能を強化するクレスト&br;聖吸耐性+15&br;聖吸低下耐性+15|16083
|[Crest of Blind Warding[防闇霧のクレスト]]|7|装着した防具の属性異常耐性が増すクレスト&br;闇霧耐性+4|9326
|[Crest of Blind Prevention[強防闇霧のクレスト]]|9|装着した防具の属性異常耐性が増すクレスト&br;闇霧耐性+5|9327
|[Crest of Blind Immunity[超防闇霧のクレスト]]|11|装着した防具の属性異常耐性が増すクレスト&br;闇霧耐性+6|9328
|[Crest of Blind Warding+[防闇霧のクレスト・改]]|15|装着した防具の属性異常耐性が増すクレスト&br;闇霧耐性+17|13688
|[Crest of Dark Barrier[Crest of Dark Barrier]|20|装着した防具の性能を強化するクレスト&br;闇霧耐性+15&br;闇防低下耐性+15|16084
|[Crest of Poison Warding[抗毒のクレスト]]|3|装着した防具の状態異常耐性が増すクレスト&br;毒耐性+4|9329
|[Crest of Poison Prevention[絶毒のクレスト]]|8|装着した防具の状態異常耐性が増すクレスト&br;毒耐性+6|9330
|[Crest of Poison Warding+[抗毒のクレスト・改]]|15|装着した防具の状態異常耐性が増すクレスト&br;毒耐性+25|13689
|[Crest of Torpor Warding[抗遅のクレスト]]|3|装着した防具の状態異常耐性が増すクレスト&br;遅延耐性+4|9331
|[Crest of Torpor Prevention[絶遅のクレスト]]|8|装着した防具の状態異常耐性が増すクレスト&br;遅延耐性+6|9332
|[Crest of Torpor Warding+[抗遅のクレスト・改]]|15|装着した防具の状態異常耐性が増すクレスト&br;遅延耐性+20|13690
|[Crest of Sleep Warding[抗眠のクレスト]]|3|装着した防具の状態異常耐性が増すクレスト&br;睡眠耐性+4|9333
|[Crest of Sleep Warding+[抗眠のクレスト・改]]|15|装着した防具の状態異常耐性が増すクレスト&br;睡眠耐性+20|13691
|[Crest of Sleep Prevention[絶眠のクレスト]]|8|装着した防具の状態異常耐性が増すクレスト&br;睡眠耐性+6|9334
|[Crest of Stunning Warding[抗気のクレスト]]|3|装着した防具の状態異常耐性が増すクレスト&br;気絶耐性+4|9335
|[Crest of Stunning Prevention[絶気のクレスト]]|8|装着した防具の状態異常耐性が増すクレスト&br;気絶耐性+6|9336
|[Crest of Stunning Warding+[抗気のクレスト・改]]|15|装着した防具の状態異常耐性が増すクレスト&br;気絶耐性+25|13692
|[Crest of Drench Warding[抗水のクレスト]]|3|装着した防具の状態異常耐性が増すクレスト&br;水濡れ耐性+4|9337
|[Crest of Drench Prevention[絶水のクレスト]]|8|装着した防具の状態異常耐性が増すクレスト&br;水濡れ耐性+6|9338
|[Crest of Drench Warding+[抗水のクレスト・改]]|15|装着した防具の状態異常耐性が増すクレスト&br;水濡れ耐性+34|13693
|[Crest of Tar Warding[抗油のクレスト]]|3|装着した防具の状態異常耐性が増すクレスト&br;油濡れ耐性+4|9339
|[Crest of Tar Prevention[絶油のクレスト]]|8|装着した防具の状態異常耐性が増すクレスト&br;油濡れ耐性+6|9340
|[Crest of Tar Warding+[抗油のクレスト・改]]|15|装着した防具の状態異常耐性が増すクレスト&br;油濡れ耐性+34|13694
|[Crest of Stifle Warding[抗封のクレスト]]|9|装着した防具の状態異常耐性が増すクレスト&br;封印耐性+4|9341
|[Crest of Stifle Prevention[絶封のクレスト]]|10|装着した防具の状態異常耐性が増すクレスト&br;封印耐性+6|9342
|[Crest of Stifle Warding+[抗封のクレスト・改]]|15|装着した防具の状態異常耐性が増すクレスト&br;スキル封印耐性+20|13695
|[Crest of Curse Warding[抗呪のクレスト]]|10|装着した防具の状態異常耐性が増すクレスト&br;呪い耐性+4|9343
|[Crest of Curse Prevention[絶呪のクレスト]]|11|装着した防具の状態異常耐性が増すクレスト&br;呪い耐性+6|9344
|[Crest of Curse Warding+[抗呪のクレスト・改]]|15|装着した防具の状態異常耐性が増すクレスト&br;呪い耐性+15|13696
|[Crest of Frail Warding[抗弱のクレスト]]|6|装着した防具の状態異常耐性が増すクレスト&br;軟化耐性+4|9345
|[Crest of Frail Prevention[絶弱のクレスト]]|7|装着した防具の状態異常耐性が増すクレスト&br;軟化耐性+6|9346
|[Crest of Frail Warding+[抗弱のクレスト・改]]|15|装着した防具の状態異常耐性が増すクレスト&br;軟化耐性+25|13697
|[Crest of Petrification Warding[抗石のクレスト]]|9|装着した防具の状態異常耐性が増すクレスト&br;石化耐性+4|9347
|[Crest of Petrification Prevention[絶石のクレスト]]|10|装着した防具の状態異常耐性が増すクレスト&br;石化耐性+6|9348
|[Crest of Petrification Warding+[抗石のクレスト・改]]||装着した防具の状態異常耐性が増すクレスト&br;石化耐性+17|13698
|[Crest of Golden Warding[抗金のクレスト]]|11|装着した防具の状態異常耐性が増すクレスト&br;黄金化耐性+4|9349
|[Crest of Golden Prevention[絶金のクレスト]]|12|装着した防具の状態異常耐性が増すクレスト&br;黄金化耐性+6|9350
|[Crest of Golden Warding+[抗金のクレスト・改]]|15|装着した防具の状態異常耐性が増すクレスト&br;黄金化耐性+17|13699
|[Crest of Double Resist (Poison/Torpor)[双耐のクレスト【毒・遅延】]]|20|装着した防具の性能を強化するクレスト&br;遅延耐性+15&br;毒耐性+15|16085
|[Crest of Double Resist (Sleep/Stun)[双耐のクレスト【睡眠・気絶】]]|20|装着した防具の性能を強化するクレスト&br;睡眠耐性+15&br;気絶耐性+15|16086
|[Crest of Double Resist (Petrify/Gild)[双耐のクレスト【石化・黄金化】]]|20|装着した防具の性能を強化するクレスト&br;石化耐性+15&br;黄金化耐性+15|16087
|[Crest of Double Resist (Curse/Stifle)[双耐のクレスト【呪い・封印】]]|20|装着した防具の性能を強化するクレスト&br;呪い耐性+15&br;封印耐性+15|16088
|[Crest of Lowered Strength Prevention[物攻維持のクレスト]]|15|装着した防具の状態異常耐性が増すクレスト&br;物攻低下耐性+25|13705
|[Crest of Lowered Magick Prevention[魔攻維持のクレスト]]|15|装着した防具の状態異常耐性が増すクレスト&br;魔攻低下耐性+25|13706
|[Crest of Lowered Defense Prevention[物防維持のクレスト]]|15|装着した防具の状態異常耐性が増すクレスト&br;物防低下耐性+25|13707
|[Crest of Lowered Magick Prevention[魔防維持のクレスト]]|15|装着した防具の状態異常耐性が増すクレスト&br;魔防低下耐性+25|13708
|[Crest of Double Resist (Lowered Strength/Defense)[双耐のクレスト【物攻・物防】]]|20|装着した防具の性能を強化するクレスト&br;物攻低下耐性+20&br;物防低下耐性+20|16089
|[Crest of Double Resist (Lowered Magick/Magick Defense)[双耐のクレスト【魔攻・魔防】]]|20|装着した防具の性能を強化するクレスト&br;魔攻低下耐性+20&br;魔防低下耐性+20|16090
|[Crest of Triple Resist (Sleep/Poison/Slow)[三耐のクレスト【眠・毒・遅】]]|20|装着した防具の性能を強化するクレスト&br;睡眠耐性+10&br;毒耐性+10&br;遅延耐性+10|16096
|[Crest of Triple Resist (Stun/Curse/Stifle)[三耐のクレスト【絶・呪・封】]]|20|装着した防具の性能を強化するクレスト&br;気絶耐性+10&br;呪い耐性+10&br;封印耐性+10|16097
|[Crest of Triple Resist (Petrify/Gild/Frail)[三耐のクレスト【石・金・軟】]]|20|装着した防具の性能を強化するクレスト&br;石化耐性+10&br;黄金化耐性+10&br;軟化耐性+10|16098
|[Crest of Stature Protection[物魔加護のクレスト]]|20|装着した防具の性能を強化するクレスト&br;物攻低下耐性+10&br;物防低下耐性+10&br;魔攻低下耐性+10&br;魔防低下耐性+10|16099
|[Crest of Decreased Fire Resist Prevention[炎防維持のクレスト]]|15|装着した防具の状態異常耐性が増すクレスト&br;炎防低下耐性+34|13700
|[Crest of Decreased Ice Resist Prevention[氷防維持のクレスト]]|15|装着した防具の状態異常耐性が増すクレスト&br;氷防低下耐性+34|13701
|[Crest of Decreased Thunder Resist Prevention[雷防維持のクレスト]]|15|装着した防具の状態異常耐性が増すクレスト&br;雷防低下耐性+34|13702
|[Crest of Decreased Holy Resist Prevention[聖防維持のクレスト]]|15|装着した防具の状態異常耐性が増すクレスト&br;聖防低下耐性+34|13703
|[Crest of Decreased Dark Resist Prevention[闇防維持のクレスト]]|15|装着した防具の状態異常耐性が増すクレスト&br;闇防低下耐性+34|13704
|[Crest of Fire Protection+[炎加護のクレスト]]|20|装着した防具の性能を強化するクレスト&br;炎耐性+5&br;延焼耐性+10&br;炎防低下耐性+10|25749
|[Crest of Ice Protection[氷加護のクレスト]]|20|装着した防具の性能を強化するクレスト&br;氷耐性+5&br;凍結耐性+10&br;氷防低下耐性+10|16092
|[Crest of Lightning Protection[雷加護のクレスト]]|20|装着した防具の性能を強化するクレスト&br;雷耐性+5&br;感電耐性+10&br;雷防低下耐性+10|16093
|[Crest of Holy Protection[聖加護のクレスト]]|20|装着した防具の性能を強化するクレスト&br;聖耐性+5&br;聖吸耐性+10&br;聖防低下耐性+10|16094
|[Crest of Dark Protection[闇加護のクレスト]]|20|装着した防具の性能を強化するクレスト&br;闇耐性+5&br;闇霧耐性+10&br;闇防低下耐性+10|16095
