|Name|Rank|Explination|h
|[Crest of Superior Magick (Stun)[覇魔のクレスト【気絶】]]|20|装着した武器の性能を強化するクレスト&br;魔法攻撃力+7&br;気絶攻力+5|16052
|[Crest of Superior Magick (Lowered Magick Defense)[覇魔のクレスト【魔防低下】]]|20|装着した武器の性能を強化するクレスト&br;魔法攻撃力+7&br;与【魔防低下】蓄積値+22|16058
|[Crest of Superior Magick (Burning)[覇魔のクレスト【延焼】]]|20|装着した武器の魔法属性を炎にし、さらに&br;性能を強化するクレスト&br;魔法攻撃力+7&br;与【延焼】蓄積値+15|16035
|[Crest of Superior Magick (Freezing)[覇魔のクレスト【凍結】]]|20|装着した武器の魔法属性を氷にし、さらに&br;性能を強化するクレスト&br;魔法攻撃力+7&br;与【凍結】蓄積値+10|16036
|[Crest of Superior Magick (Freezing+)[覇魔のクレスト【凍結】・改]]|30|装着した武器の魔法属性を氷にし、さらに&br;性能を強化するクレスト&br;魔法攻撃力+10&br;与【凍結】蓄積値+15|25767
|[Crest of Superior Magick (Shock[覇魔のクレスト【感電】]]|20|装着した武器の魔法属性を雷にし、さらに&br;性能を強化するクレスト&br;魔法攻撃力+7&br;与【感電】蓄積値+15|16040
|[Crest of Superior Magick (Holy Drain)[覇魔のクレスト【聖吸】]]|20|装着した武器の魔法属性を聖にし、さらに&br;性能を強化するクレスト&br;魔法攻撃力+7&br;与【聖吸】蓄積値+15|16041
|[Crest of Superior Magick (Blindness)[覇魔のクレスト【闇霧】]]|20|装着した武器の魔法属性を闇にし、さらに&br;性能を強化するクレスト&br;魔法攻撃力+7&br;与【闇霧】蓄積値+15|16042
|[Crest of Superior Magick (Petrification)[覇魔のクレスト【石化】]]|20|装着した武器の性能を強化するクレスト&br;魔法攻撃力+7&br;与【石化】蓄積値+10|16056
|[Crest of Superior Magick (Gilding)[覇魔のクレスト【黄金化】]]|20|装着した武器の性能を強化するクレスト&br;魔法攻撃力+7&br;与【黄金化】蓄積値+10|16057
|[Crest of Superior Magick (Sleep)[覇魔のクレスト【睡眠】]]|20|装着した武器の性能を強化するクレスト&br;魔法攻撃力+7&br;与【睡眠】蓄積値+10|16055
|[Crest of Superior Magick (Torpor)[覇魔のクレスト【遅延】]]|20|装着した武器の性能を強化するクレスト&br;魔法攻撃力+7&br;与【遅延】蓄積値+15|16054
|[Crest of Superior Magick (Poison)[覇魔のクレスト【毒】]]|20|装着した武器の性能を強化するクレスト&br;魔法攻撃力+7&br;与【毒】蓄積値+20|16053
|[Crest of Increased Attack+[強撃のクレスト]]|6|装着した武器の吹き飛ばし力が上がるクレスト&br;吹き飛ばし力+8|25714
|[Crest of Amplified Attack[衝撃のクレスト]]|9|装着した武器の吹き飛ばし力が上がるクレスト&br;吹き飛ばし力+15|9204
|[Crest of Amplified Attack+[衝撃のクレスト・改]]|30|装着した武器の吹き飛ばし力が上がるクレスト&br;吹き飛ばし力+30|25715
|[Crest of Dazzling[卒倒のクレスト]]|6|装着した武器の気絶攻力が上がるクレスト&br;気絶攻力+5|9205
|[Crest of Flesh Cutting[亜人斬りのクレスト]]|3|装着した武器に対敵特攻を付与するクレスト&br;【亜人】+5|9209
|[Crest of Flesh Cutting II[亜人斬りのクレスト2]]|15|装着した武器に対敵特攻を付与するクレスト&br;【亜人】+8|9210
|[Crest of Flesh Cutting III[亜人斬りのクレスト3]]|12|装着した武器に対敵特攻を付与するクレスト&br;【亜人】+14|11725
|[Crest of Flesh Cutting IV[亜人斬りのクレスト4]]|15|装着した武器に対敵特効を付与するクレスト&br;対敵特効【亜人】+16|13662
|[Crest of Beast Hunting[獣狩りのクレスト]]|3|装着した武器に対敵特攻を付与するクレスト&br;【獣】+5|9211
|[Crest of Beast Hunting II[獣狩りのクレスト2]]|15|装着した武器に対敵特攻を付与するクレスト&br;対敵特攻【獣】+8|9212
|[Crest of Beast Hunting III[獣狩りのクレスト3]]|12|装着した武器に対敵特攻を付与するクレスト&br;対敵特攻【獣】+14|11726
|[Crest of Beast Hunting IV[獣狩りのクレスト4]]|15|装着した武器に対敵特効を付与するクレスト&br;対敵特効【獣】+16|13663
|[Crest of Demon Slaying[鬼人裂きのクレスト]]|3|装着した武器に対敵特攻を付与するクレスト&br;対敵特効【鬼人】+5|9213
|[Crest of Demon Slaying II[鬼人裂きのクレスト2]]|15|装着した武器に対敵特攻を付与するクレスト&br;対敵特効【鬼人】+8|9214
|[Crest of Demon Slaying III[鬼人裂きのクレスト3]]|12|装着した武器に対敵特攻を付与するクレスト&br;【対敵特効鬼人】+14|11727
|[Crest of Demon Slaying IV[鬼人裂きのクレスト4]]|15|装着した武器に対敵特攻を付与するクレスト&br;対敵特効【鬼人】+16|13664
|[Crest of Massacre[腐死滅ぼしのクレスト]]|3|装着した武器に対敵特攻を付与するクレスト&br;【腐死】+5|9215
|[Crest of Massacre II[腐死滅ぼしのクレスト2]]|15|装着した武器に対敵特攻を付与するクレスト&br;【腐死】+8|9216
|[Crest of Massacre III[腐死滅ぼしのクレスト3]]|12|装着した武器に対敵特攻を付与するクレスト&br;【腐死】+14|11728
|[Crest of Massacre IV[腐死滅ぼしのクレスト4]]|15|装着した武器に対敵特効を付与するクレスト&br;対敵特効【腐死】+16|13665
|[Crest of Fracturing[骸骨砕きのクレスト]]|3|装着した武器に対敵特攻を付与するクレスト&br;【骸骨】+5|9217
|[Crest of Fracturing II[骸骨砕きのクレスト2]]|15|装着した武器に対敵特攻を付与するクレスト&br;【骸骨】+8|9218
|[Crest of Fracturing III[骸骨砕きのクレスト3]]|12|装着した武器に対敵特攻を付与するクレスト&br;【骸骨】+14|11729
|[Crest of Fracturing IV[骸骨砕きのクレスト4]]|15|装着した武器に対敵特攻を付与するクレスト&br;【骸骨】+16|13666
|[[有翼堕としのクレスト]]|3|装着した武器に対敵特攻を付与するクレスト&br;【有翼】+5|
|[Crest of Mutilation II[有翼墜としのクレスト2]]|15|装着した武器に対敵特攻を付与するクレスト&br;【有翼】+8|9220
|[Crest of Mutilation III[有翼墜としのクレスト3]]|12|装着した武器に対敵特攻を付与するクレスト&br;【有翼】+14|11730
|[Crest of Mutilation IV[有翼墜としのクレスト4]]|15|装着した武器に対敵特効を付与するクレスト&br;対敵特効【有翼】+16|13667
|[Crest of Giant Killing[巨人殺しのクレスト]]|6|装着した武器に対敵特攻を付与するクレスト&br;【巨人】+5|9221
|[Crest of Giant Killing II[巨人殺しのクレスト2]]|15|装着した武器に対敵特攻を付与するクレスト&br;【巨人】+8|9222
|[Crest of Giant Killing III[巨人殺しのクレスト3]]|12|装着した武器に対敵特攻を付与するクレスト&br;【巨人】+14|11731
|[Crest of Giant Killing IV[巨人殺しのクレスト4]]|15|装着した武器に対敵特効を付与するクレスト&br;対敵特効【巨人】+16|13668
|[Crest of Splicing[軟体消しのクレスト]]|3|装着した武器に対敵特攻を付与するクレスト&br;【軟体】+5|9223
|[Crest of Splicing II[軟体消しのクレスト2]]|15|装着した武器に対敵特攻を付与するクレスト&br;【軟体】+8|9224
|[Crest of Splicing III[軟体消しのクレスト3]]|12|装着した武器に対敵特攻を付与するクレスト&br;【軟体】+14|11732
|[Crest of Splicing IV[軟体消しのクレスト4]]|15|装着した武器に対敵特効を付与するクレスト&br;対敵特効【軟体】+16|13669
|[Crest of Purification IV[霊体清めのクレスト]]|3|装着した武器に対敵特攻を付与するクレスト&br;対敵特効【霊体】 5|13670
|[Crest of Purification II[霊体清めのクレスト2]]|15|装着した武器に対敵特攻を付与するクレスト&br;対敵特効【霊体】+8|9226
|[Crest of Purification III[霊体清めのクレスト3]]|12|装着した武器に対敵特攻を付与するクレスト&br;対敵特効【霊体】+14|11733
|[Crest of Purification IV[霊体清めのクレスト4]]|15|装着した武器に対敵特攻を付与するクレスト&br;対敵特効【霊体】+16|13670
|[Crest of Exorcism[呪詛祓いのクレスト]]|7|装着した武器に対敵特攻を付与するクレスト&br;【呪詛】+5|9227
|[Crest of Exorcism II[呪詛祓いのクレスト2]]|15|装着した武器に対敵特攻を付与するクレスト&br;【呪詛】+8|9228
|[Crest of Exorcism III[呪詛祓いのクレスト3]]|12|装着した武器に対敵特攻を付与するクレスト&br;【呪詛】+14|11734
|[Crest of Exorcism IV[呪詛祓いのクレスト4]]|15|装着した武器に対敵特攻を付与するクレスト&br;【呪詛】+16|13671
|[Crest of Dismantling[造魔破壊のクレスト]]|6|装着した武器に対敵特攻を付与するクレスト&br;【造魔】+5|9229
|[Crest of Dismantling II[造魔破壊のクレスト2]]|9|装着した武器に対敵特攻を付与するクレスト&br;【造魔】+8|9230
|[Crest of Dismantling III[造魔破壊のクレスト3]]|12|装着した武器に対敵特攻を付与するクレスト&br;【造魔】+14|11735
|[Crest of Dismantling IV[造魔破壊のクレスト4]]|15|装着した武器に対敵特攻を付与するクレスト&br;【造魔】+16|13672
|[Crest of Manslaying[人間斃しのクレスト]]|3|装着した武器に対敵特攻を付与するクレスト&br;【人間】+5|9231
|[Crest of Manslaying II[人間斃しのクレスト2]]|15|装着した武器に対敵特攻を付与するクレスト&br;【人間】+8|9232
|[Crest of Manslaying III[人間斃しのクレスト3]]|12|装着した武器に対敵特攻を付与するクレスト&br;【人間】+14|11736
|[Crest of Manslaying IV[人間斃しのクレスト4]]|15|装着した武器に対敵特効を付与するクレスト&br;対敵特効【人間】+16|13673
|[Crest of Sealed Alchemy[錬金封じのクレスト]]|8|装着した武器に対敵特攻を付与するクレスト&br;【錬金】+5|9233
|[Crest of Sealed Alchemy II[錬金封じのクレスト2]]|15|装着した武器に対敵特攻を付与するクレスト&br;【錬金】+8|9234
|[Crest of Sealed Alchemy III[錬金封じのクレスト3]]|12|装着した武器に対敵特攻を付与するクレスト&br;【錬金】+14|11737
|[Crest of Sealed Alchemy IV[錬金封じのクレスト4]]|15|装着した武器に対敵特効を付与するクレスト&br;対敵特効【錬金]】+16|14183
|[Crest of Dragonsbane[竜族討ちのクレスト]]|8|装着した武器に対敵特攻を付与するクレスト&br;【竜族】+5|9235
|[Crest of Dragonsbane II[竜族討ちのクレスト2]]|11|装着した武器に対敵特攻を付与するクレスト&br;【竜族】+8|9236
|[Crest of Dragonsbane III[竜族討ちのクレスト3]]|12|装着した武器に対敵特攻を付与するクレスト&br;【竜族】+14|11738
|[Crest of Dragonsbane IV[竜族討ちのクレスト4]]|15|装着した武器に対敵特攻を付与するクレスト&br;【竜族】+16|14184
|[Crest of Expulsion[魔族還しのクレスト]]|8|装着した武器に対敵特攻を付与するクレスト&br;【魔族】+5|9237
|[Crest of Expulsion II[魔族還しのクレスト2]]|11|装着した武器に対敵特攻を付与するクレスト&br;【魔族】+8|9238
|[Crest of Expulsion III[魔族還しのクレスト3]]|12|装着した武器に対敵特攻を付与するクレスト&br;【魔族】+14|11739
|[Crest of Expulsion IV[魔族還しのクレスト4]]|15|装着した武器に対敵特攻を付与するクレスト&br;【魔族】+16|
|[Crest of War-Ready Break I[戦甲砕きのクレスト1]]|10|装着した武器に対敵特攻を付与するクレスト&br;対敵特効【戦甲】+10|19363
|[Crest of War-Ready Break II[戦甲砕きのクレスト2]]|15|装着した武器に対敵特攻を付与するクレスト&br;対敵特効【戦甲】+12|19364
|[Crest of War-Ready Break III[戦甲砕きのクレスト3]]|20|装着した武器に対敵特攻を付与するクレスト&br;対敵特効【戦甲】+14|19365
|[Crest of War-Ready Break IV[戦甲砕きのクレスト4]]|25|装着した武器に対敵特攻を付与するクレスト&br;対敵特効【戦甲】+16|19366
|[Crest of Poison[毒のクレスト]]|3|装着した武器に状態異常を付与するクレスト&br;与【毒】蓄積値13|9239
|[Crest of Fatal Poison[猛毒のクレスト]]|8|装着した武器に状態異常を付与するクレスト&br;与【毒】蓄積値20|9240
|[Crest of Poison+[毒のクレスト・改]]|15|装着した武器に状態異常を付与するクレスト&br;与【毒】蓄積値26|13660
|[Crest of Torpor[遅延のクレスト]]|6|装着した武器に状態異常を付与するクレスト&br;【遅延】蓄積地+10|9241
|[Crest of Greater Torpor[鈍遅のクレスト]]|8|装着した武器に状態異常を付与するクレスト&br;【遅延】蓄積地+15|9242
|[Crest of Greater Torpor+[鈍遅のクレスト・改]]|30|装着した武器に状態異常を付与するクレスト&br;【遅延】蓄積地+30|25713
|[Crest of Torpor+[遅延のクレスト・改]]|||13661
|[Crest of Sleep[睡眠のクレスト]]|3|装着した武器に状態異常を付与するクレスト&br;【睡眠】蓄積値+10|9243
|[Crest of Deeper Sleep[安眠のクレスト]]|8|装着した武器に状態異常を付与するクレスト&br;【睡眠】蓄積値+15|9244
|[Crest of Drenching[水濡れのクレスト]]|3|装着した武器に状態異常を付与するクレスト&br;【水濡れ】蓄積値+13|9245
|[Crest of Drowning[流水のクレスト]]|8|装着した武器に状態異常を付与するクレスト&br;【水濡れ】蓄積値+20|9246
|[Crest of Drowning+[流水のクレスト・改]]|30|装着した武器に状態異常を付与するクレスト&br;【水濡れ】蓄積値+35|25710
|[Crest of Tarring[油濡れのクレスト]]|3|装着した武器に状態異常を付与するクレスト&br;【油濡れ】蓄積値+13|9247
|[Crest of Greater Tarring[油海のクレスト]]|8|装着した武器に状態異常を付与するクレスト&br;【油濡れ】蓄積値+20|9248
|[Crest of Greater Tarring+[油海のクレスト・改]]|30|装着した武器に状態異常を付与するクレスト&br;【油濡れ】蓄積地+35|25712
|[Crest of Stifling[封印のクレスト]]|7|装着した武器に状態異常を付与するクレスト&br;【スキル封印】蓄積値+13|9249
|[Crest of Sealing[封結印のクレスト]]|8|装着した武器に状態異常を付与するクレスト&br;【スキル封印】蓄積値+20|9250
|[Crest of Sealing+[封結印のクレスト・改]]|30|装着した武器に状態異常を付与するクレスト&br;【スキル封印】蓄積値+35|25708
|[Crest of Frailness[軟弱のクレスト]]|7|装着した武器に状態異常を付与するクレスト&br;【軟化】蓄積値+13|9251
|[Crest of Fragility[脆弱のクレスト]]|8|装着した武器に状態異常を付与するクレスト&br;【軟化】蓄積値+20|9252
|[Crest of Petrification[石化のクレスト]]|9|装着した武器に状態異常を付与するクレスト&br;【石化】蓄積値+10|9253
|[Crest of Crystallization[石晶化のクレスト]]|11|装着した武器に状態異常を付与するクレスト&br;【石化】蓄積値+15|9254
|[Crest of Gilding[黄金化のクレスト]]|9|装着した武器に状態異常を付与するクレスト&br;【黄金化】蓄積値+10|9255
|[Crest of Glittering Gold[煌金化のクレスト]]|11|装着した武器に状態異常を付与するクレスト&br;【黄金化】蓄積値+15|9256
|[Crest of Burning[延焼のクレスト]]|6|装着した武器の魔法属性を炎にするクレスト&br;さらに【延焼】蓄積値+13|9257
|[Crest of Incineration[火延焼のクレスト]]|8|装着した武器の魔法属性を炎にするクレスト&br;さらに【延焼】蓄積値+20|9258
|[Crest of Burning+[延焼のクレスト・改]]|15|装着した武器の魔法属性を炎にし、さらに&br;属性異常を付与するクレスト&br;与【延焼】蓄積値+26|13653
|[Crest of Incineration (Decreased Fire Resist)[火延焼のクレスト【炎防低下】]]|20|装着した武器の魔法属性を炎にし、さらに&br;性能を強化するクレスト&br;与【延焼】蓄積値+20&br;与【炎防低下】蓄積値+15|16061
|[Crest of Freezing[凍結のクレスト]]|6|装着した武器の魔法属性を氷にするクレスト&br;さらに【凍結】蓄積値+10|9259
|[Crest of Permafrost[氷凍結のクレスト]]|8|装着した武器の魔法属性を氷にするクレスト&br;さらに【凍結】蓄積値+15|9260
|[Crest of Freezing+[凍結のクレスト・改]]|15|装着した武器の魔法属性を氷にし、さらに&br;属性異常を付与するクレスト&br;与【凍結】蓄積値+20|13654
|[Crest of Permafrost (Decreased Ice Resist)[氷凍結のクレスト【氷防低下】]]|20|装着した武器の魔法属性を氷にし、さらに&br;性能を強化するクレスト&br;与【凍結】蓄積値+15&br;与【氷防低下】蓄積値+15|16062
|[Crest of Shock[感電のクレスト]]|6|装着した武器の魔法属性を雷にするクレスト&br;さらに【感電】蓄積値+13|9261
|[Crest of Electrocution[雷感電のクレスト]]|8|装着した武器の魔法属性を雷にするクレスト&br;さらに【感電】蓄積値+20|9262
|[Crest of Shock+[感電のクレスト・改]]|15|装着した武器の魔法属性を雷にし、さらに&br;属性異常を付与するクレスト&br;与【感電】蓄積値+26|13655
|[Crest of Electrocution (Decreased Lightning Resist)[雷感電のクレスト【雷防低下】]]|20|装着した武器の魔法属性を雷にし、さらに&br;性能を強化するクレスト&br;与【感電】蓄積値+20&br;与【雷防低下】蓄積値+15|16063
|[Crest of Holy Drain[聖吸のクレスト]]|7|装着した武器の魔法属性を聖にするクレスト&br;さらに【聖吸】蓄積値+13|9263
|[Crest of Sanctity[白聖吸のクレスト]]|9|装着した武器の魔法属性を聖にするクレスト&br;さらに【聖吸】蓄積値+20|9264
|[Crest of Holy Drain+[聖吸のクレスト・改]]|15|装着した武器の魔法属性を聖にし、さらに&br;属性異常を付与するクレスト&br;与【聖吸】蓄積値+26|13656
|[Crest of Sanctity (Decreased Holy Resist)[白聖吸のクレスト【聖防低下】]]|20|装着した武器の魔法属性を聖にし、さらに&br;性能を強化するクレスト&br;与【聖吸】蓄積値+20&br;与【聖防低下】蓄積値+15|16064
|[Crest of Blinding[闇霧のクレスト]]|7|装着した武器の魔法属性を闇にするクレスト&br;さらに【闇霧】蓄積値+13|9265
|[Crest of Twilight[黒闇霧のクレスト]]|9|装着した武器の魔法属性を闇にするクレスト&br;さらに【闇霧】蓄積値+20|9266
|[Crest of Blinding+[闇霧のクレスト・改]]|15|装着した武器の魔法属性を闇にし、さらに&br;属性異常を付与するクレスト&br;与【闇霧】蓄積値+26|13657
|[Crest of Twilight (Decreased Dark Resist)[黒闇霧のクレスト【闇防低下】]]|20|装着した武器の魔法属性を闇にし、さらに&br;性能を強化するクレスト&br;与【闇霧】蓄積値+20&br;与【闇防低下】蓄積値+15|16065
|[Crest of Decreased Fire Resist[炎防低下のクレスト]]|3|装着した武器に状態異常を付与するクレスト&br;【炎防低下】蓄積値+15|9267
|[Crest of Diminished Fire Resist[炎防激減のクレスト]]|8|装着した武器に状態異常を付与するクレスト&br;【炎防低下】蓄積値+22|9268
|[Crest of Decreased Ice Resist[氷防低下のクレスト]]|3|装着した武器に状態異常を付与するクレスト&br;【氷防低下】蓄積値+15|9269
|[Crest of Diminished Ice Resist[氷防激減のクレスト]]|8|装着した武器に状態異常を付与するクレスト&br;【氷防低下】蓄積値+22|9270
|[Crest of Decreased Lightning Resist[雷防低下のクレスト]]|3|装着した武器に状態異常を付与するクレスト&br;【雷防低下】蓄積値+15|9271
|[Crest of Diminished Lightning Resist[雷防激減のクレスト]]|8|装着した武器に状態異常を付与するクレスト&br;【雷防低下】蓄積値+22|9272
|[Crest of Decreased Holy Resist[聖防低下のクレスト]]|6|装着した武器に状態異常を付与するクレスト&br;【聖防低下】蓄積値+15|9273
|[Crest of Diminished Holy Resist[聖防激減のクレスト]]|9|装着した武器に状態異常を付与するクレスト&br;【聖防低下】蓄積値+22|9274
|[Crest of Decreased Dark Resist[闇防低下のクレスト]]|6|装着した武器に状態異常を付与するクレスト&br;【闇防低下】蓄積値+15|9275
|[Crest of Diminished Dark Resist[闇防激減のクレスト]]|9|装着した武器に状態異常を付与するクレスト&br;【闇防低下】蓄積値+22|9276
|[Crest of Lowered Strength[物攻低下のクレスト]]|3|装着した武器に状態異常を付与するクレスト&br;【物攻低下】蓄積値+15|9277
|[Crest of Dwindled Strength[物攻激減のクレスト]]|8|装着した武器に状態異常を付与するクレスト&br;【物攻低下】蓄積値+22|
|[Crest of Dwindled Strength+[物攻激減のクレスト・改]]|15|装着した武器に状態異常を付与するクレスト&br;与【物攻低下】蓄積値+30|13674
|[Crest of Lowered Strength+[物攻低下のクレスト・改]]|12|装着した武器に状態異常を付与するクレスト&br;【物攻低下】蓄積値+28|11723
|[Crest of Lowered Defense[物防低下のクレスト]]|3|装着した武器に状態異常を付与するクレスト&br;【物防低下】蓄積値+15|9279
|[Crest of Dwindled Defense[物防激減のクレスト]]|8|装着した武器に状態異常を付与するクレスト&br;【物防低下】蓄積値+22|9280
|[Crest of Lowered Defense+[物防低下のクレスト・改]]|12|装着した武器に状態異常を付与するクレスト&br;【物防低下】蓄積値+28|11721
|[Crest of Dwindled Defense+[物防激減のクレスト・改]]|15|装着した武器に状態異常を付与するクレスト&br;与【物防低下】蓄積値+30|13675
|[Crest of Lowered Magick[魔攻低下のクレスト]]|3|装着した武器に状態異常を付与するクレスト&br;【魔攻低下】蓄積値+15|9281
|[Crest of Lowered Magick+[魔攻低下のクレスト・改]]|12|装着した武器に状態異常を付与するクレスト&br;【魔攻低下】蓄積値+28|11724
|[Crest of Dwindled Magick[魔攻激減のクレスト]]|8|装着した武器に状態異常を付与するクレスト&br;【魔攻低下】蓄積値+22|9282
|[Crest of Dwindled Magick+[魔攻激減のクレスト・改]]|12|装着した武器に状態異常を付与するクレスト&br;【魔攻低下】蓄積値+28|13676
|[Crest of Lowered Magick Defense[魔防低下のクレスト]]|3|装着した武器に状態異常を付与するクレスト&br;【魔防低下】蓄積値+15|9283
|[Crest of Lowered Magick Defense+[魔防低下のクレスト・改]]|12|装着した武器に状態異常を付与するクレスト&br;【魔防低下】蓄積値+28|11722
|[Crest of Dwindled Magick Defense[魔防激減のクレスト]]|8|装着した武器に状態異常を付与するクレスト&br;【魔防低下】蓄積値+22|9284
|[Crest of Dwindled Magick Defense+[魔防激減のクレスト・改]]|15|装着した武器に状態異常を付与するクレスト&br;与【魔防低下】蓄積値+30|13677
