**{NAME HERE} ITEM LIST   
||Name|Rank|P-DEF|M-DEF|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
|[Silk Bliaut[シルクブリオー]]|9|50|50|全ジョブ(Lv41～)|3622
|[Endowed Vest[エンダウドベスト]]|9|53|53|全ジョブ(Lv42～)|3623
|[Virgo Camisole[ヴァルゴキャミソール]]|9|56|56|全ジョブ(Lv43～)/女性専用|8613
|[Coat of Plates[コートオブプレート]]|9|58|58|全ジョブ(Lv44～)|8618
|[White Sun Scale[白陽のスケイル]]|9|62|62|全ジョブ(Lv45～)|8623
|[Master Squad Suit[マスタースカッドスーツ]]|10|58|58|全ジョブ(Lv46～)|984
|[Emperor's Gipon[エンペラーズジポン]]|10|59|59|全ジョブ(Lv47～)|2603
|[Mythology Bracers[ミソロジーブレイサー]]|10|61|64|全ジョブ(Lv48～)|2604
|[Hero's Skin[ヒーローズスキン]]|10|64|64|全ジョブ(Lv50～)|8633
|[Champion Breastplate[チャンピオンブレスト]]|11|66|66|全ジョブ(Lv51～)|8638
|[Dark Night Chainmail[暗夜のチェインメイル]]|11|69|69|全ジョブ(Lv53～)|8648
|[Dragonscale Wear[ドラグスケイルウェア]]|11|72|72|全ジョブ(Lv55～)|2601
|[Queen's Corset[王妃のコルセット]]|12|76|76|全ジョブ(Lv56～)/女性専用|8653
|[King Bliaut[キングブリオー]]|12|80|80|全ジョブ(Lv58～)|990
|[Coat of Duelist[コートオブデュエリスト]]|12|85|85|全ジョブ(Lv60～)|8643
|[[プレアードウェア]]|12|80|80|全ジョブ(Lv1～)|
|[Correct Bracers[コレクトブレイサー]]|15|106|106|全ジョブ(Lv62～)|13073
|[Dapper Wear[ダッパーウェア]]|20|114|114|全ジョブ(Lv65～)|13078
|[Silver Breastplate[シルバーブレスト]]|25|118|118|全ジョブ(Lv65～)|13083
|[High Solid Quilted Shirt[ハイソリッドキルト]]|30|121|121|全ジョブ(Lv65～)|13088
|[Heavenly Silk[ヘヴンリーシルク]]|30|121|121|全ジョブ(Lv67～)|13093
|[Nabla Armor[ナブラアーマー]]|35|131|131|全ジョブ(Lv70～)|13098
|[Imperial Chain[インペリアルチェイン]]|40|136|136|全ジョブ(Lv70～)|13103
|[Dragon Hide Vest[竜革のベスト]]|45|138|138|全ジョブ(Lv70～)|13109
|[Questing Tunic[探求のチュニック]]|45|141|141|全ジョブ(Lv72～)|15148
|[Hero's Vest[勇士のベスト]]|50|146|146|全ジョブ(Lv75～)|15155
|[Leaf Bandages[リーフバンテージ]]|55|151|151|全ジョブ(Lv75～)|15158
|[Phindymian Breastplate[フィンダミアブレスト]]|60|155|155|全ジョブ(Lv75～)|15163
|[Pallid Wear[パリィドウェア]]|60|160|160|全ジョブ(Lv77～)|15168
|[Dark Gray Brigandine[鈍色のブリガンダイン]]|65|165|165|全ジョブ(Lv80～)|15174
|[Holy Breastplate[ホーリーブレスト]]|70|169|169|全ジョブ(Lv80～)|15178
|[Azure Gambeson[アズールギャンベソン]]|75|174|174|全ジョブ(Lv80～)|15183
|[Arabesque Wear[アラベスクウェア]]|80|171|171|全ジョブ(Lv80～)|17811
|[Biyabaan Mail[ビヤーバーンメイル]]|85|181|181|全ジョブ(Lv83～)|17817
|[Acrean Tunic[アッカリアチュニック]]|90|185|185|全ジョブ(Lv85～)|17821
|[Asker Suit[アスケルスーツ]]|90|187|187|全ジョブ(Lv85～)|18439
|[Krall Breastplate[クラールブレスト]]|95|196|196|全ジョブ(Lv88～)|18444
|[Casanance Tunic[カザナンスチュニック]]|100|209|209|全ジョブ(Lv90～)|18449
|[[ラハッツサーコート]]|100|208|208|全ジョブ(Lv90～)|
|[Kenneby's Wear[ケネビーシュウェア]]|105|220|220|全ジョブ(Lv93～)|20703
|[[マージェラーメッシュ]]|110|228|228|全ジョブ(Lv95～)|Macera Mesh
|[Rébellion Suit[レヴェヨンスーツ]]|110|227|227|全ジョブ(Lv95～)|21042
|[Traître Gambeson[トレートルギャンベソン]]|115|235|235|全ジョブ(Lv98～)|21047
|[Revanche Wear[ルヴァンシュウェア]]|120|244|244|全ジョブ(Lv100～)|21052
|[[精霊のアンダーウェア]]|130|248|248|全ジョブ(Lv100～)|24619
|[[炎王のアンダーウェア]]|130|248|248|全ジョブ(Lv100～)|24620
|[[白翼のアンダーウェア]]|130|248|248|全ジョブ(Lv100～)|24621
|[[黄金のアンダーウェア]]|130|248|248|全ジョブ(Lv100～)|24622
|[[黒砕のアンダーウェア]]|135|252|252|全ジョブ(Lv100～)|24639
|[[聖印のライブリーギャンベソン]]|140|275|275|全ジョブ(Lv105～)|25476
|[Invisible Underwear[無形のアンダーウェア]]|1|0|0|全ジョブ(Lv1～)|11751
|[Nemesis Wear[ネメシスウェア]]|6|17|17|全ジョブ(Lv1～)|10518
|[Marquis Wear[マーキスウェア]]|11|22|22|全ジョブ(Lv1～)|13600
|[Black Venom Wear[ブラックヴェノムウェア]]|45|138|138|全ジョブ(Lv1～)|18589
|[Enforcer's Sacred Clothing (Crimson)[執行者の聖衣【紅蓮】]]|12|22|22|全ジョブ(Lv1～)|10456
|[Vivid Green Swimsuit (Top)[翠緑の水着【上】]]|7|5|5|全ジョブ(Lv1～)|14151
|[Indigo Blue Swimsuit (Top)[藍青の水着【上】]]|7|5|5|全ジョブ(Lv1～)|14153
|[Bluish Purple Swimsuit (Top)[紫紺の水着【上】]]|7|5|5|全ジョブ(Lv1～)|14155
|[Night Black Swimsuit (Top)[夜闇の水着【上】]]|7|5|5|全ジョブ(Lv1～)|14157
|[Silver Gray Swimsuit (Top)[銀灰の水着【上】]]|7|5|5|全ジョブ(Lv1～)|14159
|[Setting Sun Swimsuit (Top)[夕陽の水着【上】]]|7|5|5|全ジョブ(Lv1～)|14161
|[Enforcer's Sacred Clothing (Moonflower)[執行者の聖衣【月花】]]|25|124|124|全ジョブ(Lv55～)|10512
|[Enforcer's Sacred Clothing (Dark Night)[執行者の聖衣【闇夜】]]|40|141|141|全ジョブ(Lv60～)|10517
|[Christmas Wear[クリスマスウェア]]|1|10|10|全ジョブ(Lv1～)|16790
|[Christmas Wear (White)[クリスマスウェア【白】]]|1|10|10|全ジョブ(Lv1～)|16797
|[Duke Wear (Dark Night)[デュークウェア【闇夜】]]|55|155|155|全ジョブ(Lv70～)|15188
|[Duke Wear (Moonflower)[デュークウェア【月花】]]|70|174|174|全ジョブ(Lv75～)|15193
|[Alluring Swimsuit Top (Vivid Green)[魅惑の水着・上【翠緑】]]|7|5|5|全ジョブ(Lv1～)|19135
|[Alluring Swimsuit Top (Indigo Blue)[魅惑の水着・上【藍青】]]|7|5|5|全ジョブ(Lv1～)|19136
|[Alluring Swimsuit Top (Bluish Purple)[魅惑の水着・上【紫紺】]]|7|5|5|全ジョブ(Lv1～)|19137
|[Alluring Swimsuit Top (Night Black)[魅惑の水着・上【夜闇】]]|7|5|5|全ジョブ(Lv1～)|19138
|[Alluring Swimsuit Top (Silver Gray)[魅惑の水着・上【銀灰】]]|7|5|5|全ジョブ(Lv1～)|19139
|[Alluring Swimsuit Top (Setting Sun)[魅惑の水着・上【夕陽】]]|7|5|5|全ジョブ(Lv1～)|19140
|[Boundless Tempest Gown[広漠のテンペストガウン]]|80|178|178|全ジョブ(Lv1～)|19455
|[Boundless Tempest Vest[広漠のテンペストベスト]]|83|182|182|全ジョブ(Lv1～)|19463
|[Magical Night Scream Coat[妖夜のスクリームコート]]|10|0|0|全ジョブ(Lv1～)|20438
|[Magical Night Terror Jacket[妖夜のテラージャケット]]|10|0|0|全ジョブ(Lv1～)|20436
|[Magical Night Pumpkin Jacket[妖夜のパンプキンジャケット]]|10|0|0|全ジョブ(Lv1～)|19501
|[Magical Night Witch Coat[妖夜のウィッチコート]]|10|0|0|全ジョブ(Lv1～)|19503
|[Maestro Wear[マエストロウェア]]|92|190|190|全ジョブ(Lv1～)|21113
|[Virtuoso Wear[ヴィルトゥオーソウェア]]|95|198|198|全ジョブ(Lv1～)|21162
|[Bustier Dress (White)[ビスチェドレス【白】]]|75|180|180|全ジョブ(Lv1～)|21686
|[Bustier Dress (Black)[ビスチェドレス【黒】]]|75|180|180|全ジョブ(Lv1～)|21687
|[Bustier Dress (Purple)[ビスチェドレス【紫】]]|75|180|180|全ジョブ(Lv1～)|21688
|[Midsummer Glamorous Bikini (Red)[真夏のグラマラスビキニ【赤】]]|7|0|0|全ジョブ(Lv1～)/女性専用|21188
|[Midsummer Glamorous Bikini (Peach)[真夏のグラマラスビキニ【桃】]]|7|0|0|全ジョブ(Lv1～)/女性専用|21349
|[Midsummer Glamorous Bikini (Blue)[真夏のグラマラスビキニ【青】]]|7|0|0|全ジョブ(Lv1～)/女性専用|21350
|[Midsummer Glamorous Bikini (Purple)[真夏のグラマラスビキニ【紫】]]|7|0|0|全ジョブ(Lv1～)/女性専用|21351
|[Midsummer Glamorous Bikini (White)[真夏のグラマラスビキニ【白】]]|7|0|0|全ジョブ(Lv1～)/女性専用|21352
|[Midsummer Glamorous Bikini (Black)[真夏のグラマラスビキニ【黒】]]|7|0|0|全ジョブ(Lv1～)/女性専用|21353
|[Lord Knight Leather Suit[ロードナイトレザースーツ]]|108|226|226|全ジョブ(Lv90～)|21171
|[White Smoke Leather Suit[ホワイトスモークレザースーツ]]|116|238|238|全ジョブ(Lv95～)|21096
|[Selenite Leather Suit[セレナイトレザースーツ]]|118|241|241|全ジョブ(Lv95～)|21179
|[Christmas Tree Onepiece[クリスマスツリーワンピース]]|1|10|10|全ジョブ(Lv1～)|23461
|[Reindeer's Costume (Brown)[トナカイのコスチューム【茶】]]|1|10|10|全ジョブ(Lv1～)|23456
|[Reindeer's Costume (White)[トナカイのコスチューム【白】]]|1|10|10|全ジョブ(Lv1～)|23457
|[Survivor Leather Suit[サバイバルレザースーツ]]|130|252|252|全ジョブ(Lv1～)|24702
|[Combat Leather Suit[コンバットレザースーツ]]|130|253|253|全ジョブ(Lv1～)|25017
|[Bustier Dress (Deep Red)[ビスチェドレス【紅】]]|1|0|0|全ジョブ(Lv1～)|24927
|[Basic Pajamas - Green[ベーシックパジャマ・グリーン]]|1|0|0|全ジョブ(Lv1～)|24886
|[Cutie Wear - Yellow[キューティウェア・イエロー]]|1|0|0|全ジョブ(Lv1～)|24888
|[Alluring Swimsuit Top (Glittering Gold)[魅惑の水着・上【輝ける黄金】]]|7|3|3|全ジョブ(Lv1～)|17954
|[Cutie Wear - Berry[キューティウェア・ベリー]]|7|5|5|全ジョブ(Lv1～)|19609
|[Cutie Wear - Marine[キューティウェア・マリン]]|7|5|5|全ジョブ(Lv1～)|

**Leg Wear (All)
|[Short Pants[ショートパンツ]]|1|2|2|全ジョブ(Lv1～)|505
|[Leather Pants[レザーパンツ]]|1|3|3|全ジョブ(Lv1～)|508
|[Denim Hose[デニムホーズ]]|1|3|3|全ジョブ(Lv1～)|509
|[Seeker Tights[シーカータイツ]]|1|5|5|全ジョブ(Lv5～)|510
|[Tight Pants[タイトパンツ]]|2|6|6|全ジョブ(Lv6～)|8668
|[Village Pants[ヴィレッジパンツ]]|2|6|6|全ジョブ(Lv7～)|8663
|[Traveler's Tights[トラベラーズタイツ]]|2|7|7|全ジョブ(Lv8～)|8662
|[Cotton Hose[コットンホーズ]]|2|8|8|全ジョブ(Lv9～)|
|[Fisherman's Pants[フィッシャーマンズパンツ]]|3|9|9|全ジョブ(Lv11～)|507
|[Durable Pants[デュラブルパンツ]]|3|10|10|全ジョブ(Lv12～)|8673
|[Basic Hose[ベーシックホーズ]]|3|11|11|全ジョブ(Lv13～)|8678
|[Walker Tights[ウォーカータイツ]]|3|12|12|全ジョブ(Lv14～)|8683
|[Strong Pants[ストロングパンツ]]|4|13|13|全ジョブ(Lv16～)|8703
|[Oldies Pants[オールディーズパンツ]]|4|14|14|全ジョブ(Lv17～)|8693
|[Island Pants[アイランドパンツ]]|4|15|15|全ジョブ(Lv18～)|8698
|[Chain Hose[チェインホーズ]]|5|16|16|全ジョブ(Lv19～)|8688
|[Strong Banded[ストロングバンデッド]]|5|18|18|全ジョブ(Lv21～)|8708
|[White Thigh-highs[ホワイトサイハイ]]|5|18|18|全ジョブ(Lv22～)/女性専用|676
|[Brown Tied[ブラウンタイド]]|5|19|19|全ジョブ(Lv23～)|941
|[Black Gaiters[ブラックゲートル]]|5|20|20|全ジョブ(Lv24～)|2289
|[Silky Stretch Lingerie[シルキーバルジング]]|5|22|22|全ジョブ(Lv26～)/女性専用|995
|[Skintight Pants[グルードパンツ]]|6|23|23|全ジョブ(Lv27～)|1003
|[Combat Hose[コンバットホーズ]]|6|24|24|全ジョブ(Lv28～)|8713
|[Agent Tights[エージェントタイツ]]|6|25|25|全ジョブ(Lv29～)|8718
|[Bladeproof Hose[ブレイドプルーフホーズ]]|6|26|26|全ジョブ(Lv30～)|996
|[Gurkha Gaiters[グルカゲートル]]|7|27|27|全ジョブ(Lv31～)|998
|[Tidy Thigh-highs[タイディサイハイ]]|7|28|28|全ジョブ(Lv32～)/女性専用|999
|[Belligerent Tied[ブリジェレントタイド]]|7|29|29|全ジョブ(Lv33～)|2612
|[Coquettish Backsコケティッシュバックス]]|7|30|30|全ジョブ(Lv34～)/女性専用|8723
|[Limber Metal Hose[リンバーメタルホーズ]]|7|31|31|全ジョブ(Lv35～)|997
|[Nature Pants[ネイチャーパンツ]]|8|32|32|全ジョブ(Lv36～)|2616
|[Braided Hose[ブレイデッドホーズ]]|8|33|33|全ジョブ(Lv37～)|1002
|[Sortie Hose[ソーティーホーズ]]|8|34|34|全ジョブ(Lv38～)|8728
|[Sentry Tights[セントリータイツ]]|8|35|35|全ジョブ(Lv39～)|8733
|[White Legs[ホワイトレッグス]]|8|36|36|全ジョブ(Lv40～)|1001
|[Vice Hose[ヴァイスホーズ]]|9|37|37|全ジョブ(Lv41～)|8748
|[Rival Pants[ヴィラルパンツ]]|9|39|39|全ジョブ(Lv42～)|1005
|[Jungle Pants[ジャングルパンツ]]|9|42|42|全ジョブ(Lv43～)|8738
|[Rebel Banded[リベルバンデッド]]|9|43|43|全ジョブ(Lv44～)|8743
|[Taskbreaker[タスクブレイカー]]|9|46|46|全ジョブ(Lv45～)|8753
|[Struggle Pants[ストラグルパンツ]]|10|43|43|全ジョブ(Lv46～)|994
|[Silent Walker[サイレントウォーカー]]|10|44|44|全ジョブ(Lv47～)|2605
|[Proof of Nobility[プルーフオブノビリティ]]|10|45|45|全ジョブ(Lv48～)/女性専用|8763
|[Land Walker[ランドウォーカー]]|10|48|48|全ジョブ(Lv50～)|
|[Hell's Banded[ヘルズバンデッド]]|11|49|49|全ジョブ(Lv51～)|8778
|[Extra Hose[エクストラホーズ]]|11|52|52|全ジョブ(Lv53～)|8773
|[Dragoskin Hose[ドラグスキンホーズ]]|11|54|54|全ジョブ(Lv55～)|1006
|[Secret of Muse[シークレットオブミューズ]]|12|57|57|全ジョブ(Lv56～)/女性専用|1008
|[Mythological Tied[ミソロジカルタイド]]|12|60|60|全ジョブ(Lv58～)|2619
|[Invincible Hose[インビンシブルホーズ]]|12|64|64|全ジョブ(Lv60～)|8768
|[Traditional Underwear[トラッドアンディーズ]]|15|79|79|全ジョブ(Lv62～)|13113
|[Dapper Hose[ダッパーホーズ]]|20|86|86|全ジョブ(Lv65～)|13118
|[Toughness Banded[タフネスバンデッド]]|25|89|89|全ジョブ(Lv65～)|13123
|[Moroni Hose[マローニホーズ]]|30|90|90|全ジョブ(Lv65～)|13128
|[Silky Stockings[シルキーストッキング]]|30|90|90|全ジョブ(Lv67～)|13134
|[Fever Metal[フィーバーメタル]]|35|98|98|全ジョブ(Lv70～)|13138
|[Imperial Hose[インペリアルホーズ]]|40|102|102|全ジョブ(Lv70～)|13143
|[Black Bandages[ブラックバンデージ]]|45|103|103|全ジョブ(Lv70～)|13148
|[Questing Banded[探求のバンデッド]]|45|106|106|全ジョブ(Lv72～)|15519
|[Hero's Hose[勇士のホーズ]]|50|110|110|全ジョブ(Lv75～)|15524
|[Leaf Tied[リーフタイド]]|55|113|113|全ジョブ(Lv75～)|15530
|[Pallid Tights[フィンダミアアンディーズ]]|60|116|116|全ジョブ(Lv75～)|15539
|[Phindymian Underwear[パリィドタイツ]]|60|120|120|全ジョブ(Lv77～)|15534
|[Dark Gray Bottoms[鈍色のボトムス]]|65|124|124|全ジョブ(Lv80～)|15544
|[Holy Legs[ホーリーレッグス]]|70|127|127|全ジョブ(Lv80～)|15549
|[Azure Hose[アズールホーズ]]|75|130|130|全ジョブ(Lv80～)|15554
|[Arabesque Backs[アラベスクバックス]]|80|128|128|全ジョブ(Lv80～)|17826
|[Biyabaan Tights[ビヤーバーンタイツ]]|85|136|136|全ジョブ(Lv83～)|17831
|[Acrean Hose[アッカリアホーズ]]|90|140|140|全ジョブ(Lv85～)|17836
|[Asker Tights[アスケルタイツ]]|90|140|140|全ジョブ(Lv85～)|18454
|[Krall Banded[クラールバンデッド]]|95|147|147|全ジョブ(Lv88～)|18459
|[Casanance Hose[カザナンスホーズ]]|100|156|156|全ジョブ(Lv90～)|18464
|[[ラハッツタイド]]|100|156|156|全ジョブ(Lv90～)|
|[Kenneby's Pants[ケネビーシュパンツ]]|105|165|165|全ジョブ(Lv93～)|20718
|[Macera Hose[マージェラーホーズ]]|110|171|171|全ジョブ(Lv95～)|20723
|[Rébellion Pants[レヴェヨンパンツ]]|110|170|170|全ジョブ(Lv95～)|21057
|[Traître Hose[トレートルホーズ]]|115|176|176|全ジョブ(Lv98～)|21062
|[Revanche Pants[ルヴァンシュパンツ]]|120|183|183|全ジョブ(Lv100～)|21067
|[[精霊のアンダーショーツ]]|130|186|186|全ジョブ(Lv100～)|24644
|[[炎王のアンダーショーツ]]|130|186|186|全ジョブ(Lv100～)|24649
|[[白翼のアンダーショーツ]]|130|186|186|全ジョブ(Lv100～)|24654
|[[黄金のアンダーショーツ]]|130|186|186|全ジョブ(Lv100～)|24659
|[[黒砕のアンダーショーツ]]|135|189|189|全ジョブ(Lv100～)|24664
|[[聖印のライブリーホーズ]]|140|206|206|全ジョブ(Lv105～)|25481
|[Enforcer's Legwear (Crimson)[執行者の脚衣【紅蓮】]]|12|17|17|全ジョブ(Lv1～)|10481
|[Vivid Green Swimsuit (Bottom)[翠緑の水着【下】]]|7|5|5|全ジョブ(Lv1～)|14152
|[Indigo Blue Swimsuit (Bottom)[藍青の水着【下】]]|7|5|5|全ジョブ(Lv1～)|14154
|[Bluish Purple Swimsuit (Bottom)[紫紺の水着【下】]]|7|5|5|全ジョブ(Lv1～)|14156
|[Night Black Swimsuit (Bottom)[夜闇の水着【下】]]|7|5|5|全ジョブ(Lv1～)|14158
|[Silver Gray Swimsuit (Bottom)[銀灰の水着【下】]]|7|5|5|全ジョブ(Lv1～)|14160
|[Setting Sun Swimsuit (Bottom)[夕陽の水着【下】]]|7|5|5|全ジョブ(Lv1～)|14162
|[Enforcer's Legwear (Moonflower)[執行者の脚衣【月花】]]|25|90|90|全ジョブ(Lv55～)|10490
|[Enforcer's Legwear (Dark Night)[執行者の脚衣【闇夜】]]|40|105|105|全ジョブ(Lv60～)|10495
|[Christmas Legs[クリスマスレッグス]]|1|10|10|全ジョブ(Lv1～)|16791
|[Duke Legs (Dark Night)[デュークレッグス【闇夜】]]|55|116|116|全ジョブ(Lv70～)|15559
|[Duke Legs (Moonflower)[デュークレッグス【月花】]]|70|130|130|全ジョブ(Lv75～)|15564
|[Alluring Swimsuit Bottom (Vivid Green)[魅惑の水着・下【翠緑】]]|7|5|5|全ジョブ(Lv1～)|19141
|[Alluring Swimsuit Bottom (Indigo Blue)[魅惑の水着・下【藍青】]]|7|5|5|全ジョブ(Lv1～)|19142
|[Alluring Swimsuit Bottom (Bluish Purple)[魅惑の水着・下【紫紺】]]|7|5|5|全ジョブ(Lv1～)|19143
|[Alluring Swimsuit Bottom (Night Black)[魅惑の水着・下【夜闇】]]|7|5|5|全ジョブ(Lv1～)|19144
|[Alluring Swimsuit Bottom (Silver Gray)[魅惑の水着・下【銀灰】]]|7|5|5|全ジョブ(Lv1～)|19145
|[Alluring Swimsuit Bottom (Setting Sun)[魅惑の水着・下【夕陽】]]|7|5|5|全ジョブ(Lv1～)|19146
|[Boundless Tempest Bottoms[広漠のテンペストボトム]]|80|133|133|全ジョブ(Lv1～)|19458
|[Boundless Tempest Hose[広漠のテンペストホーズ]]|83|137|137|全ジョブ(Lv1～)|19462
|[Magical Night Scream Boots[妖夜のスクリームブーツ]]|10|0|0|全ジョブ(Lv1～)|20439
|[Magical Night Terror Slacks[妖夜のテラースラックス]]|10|0|0|全ジョブ(Lv1～)|20437
|[Magical Night Pumpkin Slacks[妖夜のパンプキンスラックス]]|10|0|0|全ジョブ(Lv1～)|19502
|[Magical Night Witch Boots[妖夜のウィッチブーツ]]|10|0|0|全ジョブ(Lv1～)|19504
|[Maestro Legs[マエストロレッグス]]|92|142|142|全ジョブ(Lv1～)|21116
|[Virtuoso Legs[ヴィルトゥオーソレッグス]]|95|149|149|全ジョブ(Lv1～)|21165
|[Border Knee-high Socks (Peach)[ボーダーニーハイソックス【桃】]]|75|135|135|全ジョブ(Lv1～)|21692
|[Border Knee-high Socks (Black)[ボーダーニーハイソックス【黒】]]|75|135|135|全ジョブ(Lv1～)|21693
|[Border Knee-high Socks (Red)[ボーダーニーハイソックス【赤】]]|75|135|135|全ジョブ(Lv1～)|21694
|[Diamond Stockings (White)[ダイヤストッキング【白】]]|75|135|135|全ジョブ(Lv1～)|21695
|[Diamond Stockings (Black)[ダイヤストッキング【黒】]]|75|135|135|全ジョブ(Lv1～)|21696
|[Diamond Stockings (Purple)[ダイヤストッキング【紫】]]|75|135|135|全ジョブ(Lv1～)|21697
|[Midsummer Glamorous Pants (Red)[真夏のグラマラスパンツ【赤】]]|7|0|0|全ジョブ(Lv1～)/女性専用|20760
|[Midsummer Glamorous Pants (Peach)[真夏のグラマラスパンツ【桃】]]|7|0|0|全ジョブ(Lv1～)/女性専用|21344
|[Midsummer Glamorous Pants (Blue)[真夏のグラマラスパンツ【青】]]|7|0|0|全ジョブ(Lv1～)/女性専用|21345
|[Midsummer Glamorous Pants (Purple)[真夏のグラマラスパンツ【紫】]]|7|0|0|全ジョブ(Lv1～)/女性専用|21346
|[Midsummer Glamorous Pants (White)[真夏のグラマラスパンツ【白】]]|7|0|0|全ジョブ(Lv1～)/女性専用|21347
|[Midsummer Glamorous Pants (Black)[真夏のグラマラスパンツ【黒】]]|7|0|0|全ジョブ(Lv1～)/女性専用|21348
|[Lord Knight Leather Bottom[ロードナイトレザーボトム]]|108|170|170|全ジョブ(Lv90～)|21173
|[White Smoke Leather Bottoms[ホワイトスモークレザーボトム]]|116|179|179|全ジョブ(Lv95～)|21098
|[Selenite Leather Bottoms[セレナイトレザーボトム]]|118|181|181|全ジョブ(Lv95～)|21181
|[Survivor Leather Bottoms[サバイバルレザーボトム]]|130|189|189|全ジョブ(Lv1～)|24703
|[Combat Leather Bottoms[コンバットレザーボトム]]|130|190|190|全ジョブ(Lv1～)|25018
|[Wooly Panties (Deep Red)[ウーリーパンティ【紅】]]|1|0|0|全ジョブ(Lv1～)|24928
|[Wooly Panties (Deep Red)[ボーダーニーハイソックス【紅】]]|1|0|0|全ジョブ(Lv1～)|24928
|[Diamond Stockings (Deep Red)[ダイヤストッキング【紅】]]|1|0|0|全ジョブ(Lv1～)|24930
|[Basic Shorts - Green[ベーシックショーツ・グリーン]]|1|0|0|全ジョブ(Lv1～)|24887
|[Cutie Shorts - Yellow[キューティショーツ・イエロー]]|1|0|0|全ジョブ(Lv1～)|24889
|[Invisible Underpants[無形のアンダーパンツ]]|1|0|0|全ジョブ(Lv1～)|11754
|[Nemesis Legs[ネメシスレッグス]]|6|12|12|全ジョブ(Lv1～)|10496
|[Marquis Legs[マーキスレッグス]]|11|17|17|全ジョブ(Lv1～)|13615
|[Alluring Swimsuit Bottom (Glittering Gold)[魅惑の水着・下【輝ける黄金】]]|7|3|3|全ジョブ(Lv1～)|17955
|[Black Venom Legs[ブラックヴェノムレッグス]]|45|103|103|全ジョブ(Lv1～)|18594
|[Craig's Worn-out Pants[使い古されたクレイグのパンツ]]|15|20|20|全ジョブ(Lv1～)|19562
|[Ghosts 'n Goblins Underwear (Male)[魔界村アンダーウェア【男】]]|15|15|15|全ジョブ(Lv1～)/男性専用|19599
